,Sector,intersection,climate,health
0,Alternative Energy,8.0,48.0,47.0
1,Automobiles & Parts,3.0,36.0,149.0
2,Beverages,0.0,0.0,0.0
3,Chemicals,3.0,34.0,65.0
4,Construction & Materials,1.0,10.0,77.0
5,Diversified,1.0,9.0,26.0
6,Electricity,9.0,192.0,310.0
7,Equity Investment Instruments,1.0,8.0,62.0
8,Financial Services,2.0,23.0,171.0
9,Fixed Line Telecommunications,0.0,25.0,212.0
10,Food Producers,0.0,32.0,120.0
11,Forestry & Paper,20.0,183.0,286.0
12,"Gas, Water & Multiutilities",0.0,2.0,4.0
13,General Industrials,3.0,15.0,170.0
14,General Retailers,0.0,9.0,74.0
15,Household Goods & Home Cons...,0.0,4.0,9.0
16,Industrial Transportation,0.0,20.0,74.0
17,Media,0.0,9.0,30.0
18,Mining,4.0,209.0,1832.0
19,Mobile Telecommunications,0.0,6.0,27.0
20,Not Applicable,0.0,1.0,1.0
21,"Oil Equipment, Services & D...",0.0,2.0,40.0
22,Personal Goods,24.0,116.0,628.0
23,Real Estate Investment & Se...,32.0,225.0,387.0
24,Real Estate Investment Trusts,0.0,1.0,9.0
25,Software & Computer Services,0.0,0.0,31.0
26,Support Services,7.0,31.0,339.0
27,Travel & Leisure,0.0,3.0,7.0
