,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,1.0,2022
1,Automobiles & Parts,1.0,1.0,1.0,2022
2,Beverages,0.0,0.0,0.0,2022
3,Chemicals,1.0,1.0,1.0,2022
4,Construction & Materials,0.33,0.33,0.33,2022
5,Diversified,1.0,1.0,0.25,2022
6,Electricity,1.0,1.0,1.0,2022
7,Equity Investment Instruments,0.12,1.0,0.12,2022
8,Financial Services,0.25,0.75,0.08,2022
9,Fixed Line Telecommunications,1.0,0.83,0.0,2022
10,Food Producers,0.86,1.0,0.0,2022
11,Forestry & Paper,0.94,0.76,0.59,2022
12,"Gas, Water & Multiutilities",1.0,1.0,0.0,2022
13,General Industrials,0.09,0.86,0.09,2022
14,General Retailers,0.27,0.87,0.0,2022
15,Household Goods & Home Cons...,1.0,1.0,0.0,2022
16,Industrial Transportation,0.6,1.0,0.0,2022
17,Media,0.5,0.5,0.0,2022
18,Mining,1.0,1.0,0.14,2022
19,Mobile Telecommunications,0.5,0.5,0.0,2022
20,Not Applicable,0.33,0.33,0.0,2022
21,"Oil Equipment, Services & D...",0.25,0.75,0.0,2022
22,Personal Goods,0.78,1.0,0.67,2022
23,Real Estate Investment & Se...,1.0,1.0,1.0,2022
24,Real Estate Investment Trusts,0.5,0.5,0.0,2022
25,Software & Computer Services,0.0,0.8,0.0,2022
26,Support Services,0.26,0.85,0.06,2022
27,Travel & Leisure,1.0,1.0,0.0,2022
