,WHO,Year,intersection,climate,health,sum,Sector
0,Western Pacific,2011,12.0,36.0,119.0,167.0,Health Care Equipment & Ser...
1,Western Pacific,2012,1.0,2.0,122.0,125.0,Health Care Equipment & Ser...
2,Western Pacific,2013,6.0,26.0,84.0,116.0,Health Care Equipment & Ser...
3,Western Pacific,2014,0.0,2.0,5.0,7.0,Health Care Equipment & Ser...
4,Western Pacific,2016,1.0,4.0,59.0,64.0,Health Care Equipment & Ser...
5,Western Pacific,2017,1.0,4.0,55.0,60.0,Health Care Equipment & Ser...
6,Western Pacific,2018,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
7,Western Pacific,2019,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
8,Western Pacific,2020,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
9,Western Pacific,2021,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
10,Western Pacific,2022,5.0,14.0,46.0,65.0,Health Care Equipment & Ser...
