year,who_region,total_counts,climate_prop,health_prop,intersection_prop
1970,Western Pacific,3,0,1,0
1971,Western Pacific,4,0,1,0
1972,Western Pacific,3,0,1,0
1973,Western Pacific,5,0,1,0
1974,Western Pacific,5,0,1,0
1975,Western Pacific,3,0,1,0
1976,Western Pacific,2,0,1,0
1977,Western Pacific,4,0.25,0.75,0
1978,Western Pacific,5,0.2,0.8,0
1979,Western Pacific,4,0,1,0
1980,Western Pacific,3,0,1,0
1981,Western Pacific,4,0,1,0
1982,Western Pacific,2,0,1,0
1983,Western Pacific,5,0,1,0
1984,Western Pacific,5,0,1,0
1985,Western Pacific,7,0,1,0
1986,Western Pacific,6,0,1,0
1987,Western Pacific,6,0.17,1,0
1988,Western Pacific,6,0.17,1,0
1989,Western Pacific,6,0.67,0.67,0.17
1990,Western Pacific,7,0.71,0.43,0
1991,Western Pacific,11,0.82,0.27,0
1992,Western Pacific,10,0.7,0.5,0
1993,Western Pacific,10,0.8,0.5,0
1994,Western Pacific,9,0.33,0.89,0
1995,Western Pacific,15,0.53,0.93,0.13
1996,Western Pacific,13,0.69,0.69,0.08
1997,Western Pacific,12,0.75,0.42,0
1998,Western Pacific,11,0.73,0.55,0
1999,Western Pacific,12,0.58,0.58,0.08
2000,Western Pacific,12,0.83,0.92,0.08
2001,Western Pacific,17,0.59,0.76,0.18
2002,Western Pacific,15,0.93,0.8,0.27
2003,Western Pacific,18,0.56,0.83,0.11
2004,Western Pacific,20,0.4,0.95,0.1
2005,Western Pacific,18,0.39,0.83,0.06
2006,Western Pacific,20,0.6,0.9,0.2
2007,Western Pacific,23,1,0.48,0.26
2008,Western Pacific,23,0.91,0.65,0.17
2009,Western Pacific,23,1,0.7,0.39
2010,Western Pacific,22,1,0.68,0.32
2011,Western Pacific,21,1,0.86,0.38
2012,Western Pacific,21,0.95,0.57,0.1
2013,Western Pacific,22,0.91,0.77,0.18
2014,Western Pacific,23,0.91,0.87,0.61
2015,Western Pacific,21,0.95,0.76,0.29
2016,Western Pacific,22,1,0.86,0.41
2017,Western Pacific,22,0.95,0.68,0.36
2018,Western Pacific,23,0.91,0.7,0.35
2019,Western Pacific,23,0.96,0.87,0.48
2020,Western Pacific,23,0.91,1,0.74
1970,South-East Asia,1,0,1,0
1971,South-East Asia,2,0,1,0
1972,South-East Asia,3,0,1,0
1974,South-East Asia,2,0,1,0
1975,South-East Asia,1,0,1,0
1976,South-East Asia,2,0,1,0
1977,South-East Asia,6,0,1,0
1978,South-East Asia,1,0,1,0
1979,South-East Asia,4,0,1,0
1980,South-East Asia,4,0,1,0
1981,South-East Asia,2,0,1,0
1982,South-East Asia,2,0,1,0
1983,South-East Asia,1,0,1,0
1984,South-East Asia,6,0,1,0
1985,South-East Asia,3,0,1,0
1986,South-East Asia,3,0,1,0
1987,South-East Asia,3,0,1,0
1988,South-East Asia,6,0.67,0.83,0
1989,South-East Asia,5,0.6,0.6,0
1990,South-East Asia,4,0.5,0.75,0
1991,South-East Asia,5,0.4,0.8,0.2
1992,South-East Asia,7,0.43,0.57,0
1993,South-East Asia,7,0,1,0
1994,South-East Asia,7,0.14,1,0
1995,South-East Asia,7,0,1,0
1996,South-East Asia,6,0.5,1,0
1997,South-East Asia,6,0.33,0.67,0
1998,South-East Asia,5,0.4,0.8,0
1999,South-East Asia,8,0.12,0.88,0
2000,South-East Asia,7,0.29,1,0
2001,South-East Asia,8,0.25,1,0
2002,South-East Asia,6,0.33,0.67,0
2003,South-East Asia,8,0.12,1,0
2004,South-East Asia,7,0.14,1,0
2005,South-East Asia,9,0.11,1,0
2006,South-East Asia,7,0.14,1,0
2007,South-East Asia,10,0.9,0.5,0
2008,South-East Asia,10,1,0.6,0.2
2009,South-East Asia,10,1,0.7,0.4
2010,South-East Asia,10,1,0.5,0.4
2011,South-East Asia,10,0.7,0.5,0
2012,South-East Asia,9,0.89,0.56,0.11
2013,South-East Asia,9,0.78,0.67,0
2014,South-East Asia,10,1,0.9,0.4
2015,South-East Asia,10,0.9,0.7,0.2
2016,South-East Asia,9,1,0.78,0.11
2017,South-East Asia,10,1,0.7,0.2
2018,South-East Asia,9,1,0.56,0.11
2019,South-East Asia,10,0.9,0.7,0.3
2020,South-East Asia,10,0.5,1,0.4
1970,North America,1,0,1,0
1971,North America,1,0,1,0
1972,North America,1,0,1,0
1973,North America,2,0,1,0
1974,North America,2,0,1,0
1975,North America,1,0,1,0
1976,North America,1,0,1,0
1977,North America,1,0,1,0
1978,North America,2,0.5,1,0
1979,North America,2,0.5,1,0
1980,North America,1,0,1,0
1981,North America,2,0,1,0
1982,North America,1,0,1,0
1984,North America,2,0,1,0
1985,North America,2,0,1,0
1986,North America,1,0,1,0
1987,North America,2,0,1,0
1988,North America,2,0.5,1,0
1989,North America,2,1,1,0
1990,North America,1,0,1,0
1991,North America,1,1,1,1
1992,North America,1,1,1,0
1993,North America,2,0,1,0
1994,North America,2,0,1,0
1995,North America,2,0.5,0.5,0
1996,North America,2,0.5,1,0
1997,North America,2,0.5,1,0
1998,North America,1,1,1,0
1999,North America,1,1,1,1
2000,North America,1,1,1,0
2001,North America,1,0,1,0
2002,North America,2,0,1,0
2003,North America,2,0,1,0
2004,North America,2,0,1,0
2005,North America,2,0,1,0
2006,North America,1,0,1,0
2007,North America,2,0.5,1,0.5
2008,North America,2,0.5,0.5,0
2009,North America,2,1,0.5,0.5
2010,North America,2,1,1,0.5
2011,North America,2,0.5,1,0.5
2012,North America,1,0,1,0
2013,North America,2,0.5,1,0
2014,North America,2,1,1,0
2015,North America,2,1,1,0
2016,North America,2,1,1,0
2017,North America,2,0.5,1,0
2018,North America,1,1,0,0
2019,North America,1,1,1,1
2020,North America,2,1,1,0.5
1970,Latin America and the Caribbean,6,0,1,0
1971,Latin America and the Caribbean,7,0,1,0
1972,Latin America and the Caribbean,11,0,1,0
1973,Latin America and the Caribbean,12,0.08,0.92,0
1974,Latin America and the Caribbean,10,0,1,0
1975,Latin America and the Caribbean,10,0,1,0
1976,Latin America and the Caribbean,7,0,1,0
1977,Latin America and the Caribbean,14,0,1,0
1978,Latin America and the Caribbean,13,0,1,0
1979,Latin America and the Caribbean,14,0.07,0.93,0
1980,Latin America and the Caribbean,13,0.15,0.92,0
1981,Latin America and the Caribbean,10,0.1,1,0
1982,Latin America and the Caribbean,14,0,1,0
1983,Latin America and the Caribbean,14,0.07,1,0
1984,Latin America and the Caribbean,14,0,1,0
1985,Latin America and the Caribbean,19,0,1,0
1986,Latin America and the Caribbean,11,0,1,0
1987,Latin America and the Caribbean,17,0,1,0
1988,Latin America and the Caribbean,16,0.19,0.88,0
1989,Latin America and the Caribbean,21,0.38,0.86,0
1990,Latin America and the Caribbean,21,0.19,0.9,0
1991,Latin America and the Caribbean,18,0.33,0.83,0.06
1992,Latin America and the Caribbean,23,0.26,0.87,0
1993,Latin America and the Caribbean,17,0.18,0.94,0.06
1994,Latin America and the Caribbean,22,0.23,0.95,0
1995,Latin America and the Caribbean,21,0.29,0.95,0.05
1996,Latin America and the Caribbean,21,0.19,0.95,0
1997,Latin America and the Caribbean,19,0.32,0.89,0
1998,Latin America and the Caribbean,22,0.36,0.73,0.05
1999,Latin America and the Caribbean,19,0.16,0.95,0
2000,Latin America and the Caribbean,30,0.27,0.9,0
2001,Latin America and the Caribbean,25,0.36,0.88,0
2002,Latin America and the Caribbean,23,0.17,1,0.04
2003,Latin America and the Caribbean,24,0.12,1,0.04
2004,Latin America and the Caribbean,28,0.25,0.96,0
2005,Latin America and the Caribbean,27,0.33,0.96,0.04
2006,Latin America and the Caribbean,26,0.31,0.92,0.04
2007,Latin America and the Caribbean,31,0.9,0.68,0.13
2008,Latin America and the Caribbean,31,0.94,0.9,0.35
2009,Latin America and the Caribbean,32,0.94,0.72,0.16
2010,Latin America and the Caribbean,32,0.97,0.69,0.25
2011,Latin America and the Caribbean,32,0.94,0.78,0.28
2012,Latin America and the Caribbean,28,0.86,0.86,0.25
2013,Latin America and the Caribbean,31,0.71,0.9,0.16
2014,Latin America and the Caribbean,33,0.79,0.88,0.24
2015,Latin America and the Caribbean,29,0.93,0.69,0.17
2016,Latin America and the Caribbean,32,0.91,0.75,0.22
2017,Latin America and the Caribbean,33,0.97,0.67,0.06
2018,Latin America and the Caribbean,32,0.91,0.81,0.28
2019,Latin America and the Caribbean,33,0.94,0.73,0.12
2020,Latin America and the Caribbean,33,0.85,1,0.48
1970,Europe,5,0,1,0
1971,Europe,4,0,1,0
1972,Europe,6,0,1,0
1973,Europe,5,0,1,0
1974,Europe,7,0,1,0
1975,Europe,4,0,1,0
1976,Europe,5,0,1,0
1977,Europe,7,0.14,0.86,0
1978,Europe,10,0.2,0.9,0
1979,Europe,6,0,1,0
1980,Europe,9,0,1,0
1981,Europe,10,0,1,0
1982,Europe,11,0,1,0
1983,Europe,7,0,1,0
1984,Europe,7,0,1,0
1985,Europe,16,0,1,0
1986,Europe,12,0,1,0
1987,Europe,13,0,1,0
1988,Europe,12,0.5,1,0.08
1989,Europe,20,0.65,0.65,0.05
1990,Europe,16,0.56,0.69,0.06
1991,Europe,13,0.62,0.62,0
1992,Europe,14,0.29,0.71,0
1993,Europe,18,0.22,0.89,0
1994,Europe,16,0.06,1,0
