Year,Climate,Health,Intersection
1970,0,0.31,0
1971,0,0.33,0
1972,0,0.38,0
1973,0.01,0.35,0
1974,0,0.35,0
1975,0,0.24,0
1976,0,0.29,0
1977,0.01,0.42,0
1978,0.03,0.35,0
1979,0.01,0.44,0
1980,0.02,0.44,0
1981,0.01,0.37,0
1982,0.01,0.35,0
1983,0.01,0.35,0
1984,0,0.43,0
1985,0.01,0.6,0
1986,0.01,0.44,0
1987,0.01,0.47,0
1988,0.1,0.44,0.01
1989,0.23,0.46,0.02
1990,0.15,0.48,0.01
1991,0.19,0.38,0.02
1992,0.17,0.42,0
1993,0.1,0.44,0.01
1994,0.08,0.51,0
1995,0.13,0.53,0.02
1996,0.14,0.49,0.01
1997,0.18,0.41,0
1998,0.17,0.4,0.01
1999,0.1,0.5,0.02
2000,0.19,0.67,0.01
2001,0.17,0.59,0.02
2002,0.16,0.62,0.04
2003,0.13,0.63,0.04
2004,0.15,0.66,0.02
2005,0.17,0.67,0.03
2006,0.19,0.64,0.04
2007,0.84,0.54,0.16
2008,0.82,0.6,0.18
2009,0.89,0.59,0.23
2010,0.82,0.57,0.21
2011,0.71,0.58,0.18
2012,0.56,0.5,0.1
2013,0.52,0.66,0.1
2014,0.69,0.76,0.24
2015,0.76,0.57,0.15
2016,0.8,0.56,0.15
2017,0.81,0.53,0.12
2018,0.75,0.55,0.19
2019,0.9,0.6,0.22
2020,0.76,0.99,0.47
