Year,Climate,Health,Intersection
1970,0,22,0
1971,0,38,0
1972,0,47,0
1973,1,42,0
1974,0,45,0
1975,0,30,0
1976,0,39,0
1977,2,59,0
1978,4,50,0
1979,2,63,0
1980,3,65,0
1981,2,54,0
1982,2,51,0
1983,1,52,0
1984,0,64,0
1985,1,82,0
1986,2,65,0
1987,1,71,0
1988,16,67,1
1989,35,70,3
1990,23,75,1
1991,30,62,3
1992,29,70,0
1993,18,77,1
1994,15,90,0
1995,22,91,4
1996,25,89,2
1997,31,73,0
1998,30,73,2
1999,18,91,3
2000,33,119,2
2001,32,112,3
2002,30,116,8
2003,24,120,7
2004,28,126,4
2005,32,124,6
2006,36,123,8
2007,161,103,30
2008,157,116,34
2009,172,114,44
2010,155,107,39
2011,137,113,35
2012,110,98,19
2013,100,127,20
2014,134,148,47
2015,147,110,29
2016,156,109,30
2017,158,104,24
2018,147,107,38
2019,175,117,43
2020,146,191,91
