,WHO,Year,intersection,climate,health,sum,Sector
0,Americas,2011,0.0,4.0,82.0,86.0,Health Care Equipment & Ser...
1,Americas,2012,1.0,4.0,78.0,83.0,Health Care Equipment & Ser...
2,Americas,2013,0.0,0.0,104.0,104.0,Health Care Equipment & Ser...
3,Americas,2014,0.0,2.0,89.0,91.0,Health Care Equipment & Ser...
4,Americas,2015,0.0,0.0,101.0,101.0,Health Care Equipment & Ser...
5,Americas,2017,2.0,29.0,42.0,73.0,Health Care Equipment & Ser...
6,Americas,2018,9.0,24.0,70.0,103.0,Health Care Equipment & Ser...
7,Americas,2019,13.0,35.0,456.0,504.0,Health Care Equipment & Ser...
8,Americas,2020,1.0,14.0,97.0,112.0,Health Care Equipment & Ser...
9,Americas,2021,26.0,149.0,869.0,1044.0,Health Care Equipment & Ser...
10,Americas,2022,75.0,197.0,676.0,948.0,Health Care Equipment & Ser...
