,Sector,intersection,health,climate
0,Automobiles & Parts,2.2,19.6,25.6
1,Banks,5.0,51.0,77.0
2,Beverages,6.25,81.5,25.25
3,Chemicals,3.43,53.71,34.5
4,Construction & Materials,2.82,38.55,16.09
5,Diversified,2.0,56.22,12.85
6,Electronic & Electrical Equ...,5.75,66.75,23.75
7,Equity Investment Instruments,0.0,1.0,1.0
8,Financial Services,2.89,28.53,31.47
9,Food Producers,5.36,79.43,17.07
10,General Industrials,8.2,90.6,43.6
11,General Retailers,1.62,25.38,27.38
12,Health Care Equipment & Ser...,2.6,86.9,14.9
13,Household Goods & Home Cons...,4.25,74.75,50.5
14,Industrial Engineering,5.0,111.0,58.0
15,Industrial Metals & Mining,0.5,4.0,4.5
16,Leisure Goods,2.0,9.0,4.0
17,Media,1.29,40.43,6.0
18,Mining,7.0,116.0,51.0
19,Mobile Telecommunications,4.67,39.67,51.0
20,Nonlife Insurance,0.0,0.0,6.0
21,Oil & Gas Producers,14.0,61.5,77.5
22,"Oil Equipment, Services & D...",0.0,1.0,12.0
23,Personal Goods,4.62,66.12,40.38
24,Pharmaceuticals & Biotechno...,18.89,244.56,38.33
25,Real Estate Investment & Se...,4.67,65.5,16.83
26,Real Estate Investment Trusts,1.0,14.0,67.0
27,Software & Computer Services,3.26,34.13,22.17
28,Support Services,1.64,25.6,14.64
29,Technology Hardware & Equip...,1.8,45.8,17.7
30,Travel & Leisure,3.0,35.5,34.25
