year,HDI Level (2021),climate_references,health_references,intersection_references
1970,Very High,0,13,0
1971,Very High,0,18,0
1972,Very High,0,22,0
1973,Very High,0,19,0
1974,Very High,0,20,0
1975,Very High,0,16,0
1976,Very High,0,16,0
1977,Very High,2,28,0
1978,Very High,7,28,0
1979,Very High,1,21,0
1980,Very High,1,25,0
1981,Very High,0,27,0
1982,Very High,0,21,0
1983,Very High,0,20,0
1984,Very High,0,28,0
1985,Very High,0,57,0
1986,Very High,0,38,0
1987,Very High,0,30,0
1988,Very High,10,35,2
1989,Very High,43,39,2
1990,Very High,21,42,1
1991,Very High,18,28,2
1992,Very High,8,32,0
1993,Very High,8,40,0
1994,Very High,4,39,0
1995,Very High,12,50,3
1996,Very High,14,37,3
1997,Very High,28,47,0
1998,Very High,28,33,2
1999,Very High,13,64,3
2000,Very High,19,101,0
2001,Very High,13,58,0
2002,Very High,13,62,2
2003,Very High,11,97,4
2004,Very High,24,81,1
2005,Very High,22,72,1
2006,Very High,46,79,17
2007,Very High,277,87,22
2008,Very High,193,79,11
2009,Very High,298,86,22
2010,Very High,181,85,27
2011,Very High,134,90,18
2012,Very High,71,64,11
2013,Very High,93,100,9
2014,Very High,156,121,23
2015,Very High,160,99,7
2016,Very High,155,83,13
2017,Very High,174,69,3
2018,Very High,197,94,19
2019,Very High,446,100,33
2020,Very High,178,790,87
2021,Very High,446,690,125
2022,Very High,327,297,97
1970,Medium,0,10,0
1971,Medium,0,12,0
1972,Medium,0,17,0
1973,Medium,0,18,0
1974,Medium,0,12,0
1975,Medium,0,7,0
1976,Medium,0,12,0
1977,Medium,0,30,0
1978,Medium,0,21,0
1979,Medium,0,36,0
1980,Medium,0,32,0
1981,Medium,1,21,0
1982,Medium,2,15,0
1983,Medium,0,25,0
1984,Medium,0,27,0
1985,Medium,0,54,0
1986,Medium,0,32,0
1987,Medium,0,26,0
1988,Medium,3,21,0
1989,Medium,16,30,0
1990,Medium,3,39,0
1991,Medium,37,29,1
1992,Medium,18,35,0
1993,Medium,12,38,0
1994,Medium,20,55,0
1995,Medium,18,43,0
1996,Medium,21,57,2
1997,Medium,18,25,0
1998,Medium,25,33,0
1999,Medium,19,68,4
2000,Medium,19,69,1
2001,Medium,44,109,11
2002,Medium,30,87,4
2003,Medium,33,100,3
2004,Medium,33,100,5
2005,Medium,42,121,2
2006,Medium,44,89,2
2007,Medium,212,61,9
2008,Medium,203,85,13
2009,Medium,288,80,27
2010,Medium,233,85,24
2011,Medium,169,125,27
2012,Medium,111,78,14
2013,Medium,124,129,14
2014,Medium,200,187,45
2015,Medium,216,89,14
2016,Medium,184,94,19
2017,Medium,220,68,26
2018,Medium,156,83,9
2019,Medium,320,134,32
2020,Medium,125,528,59
2021,Medium,242,512,70
2022,Medium,263,269,52
1970,Low,0,4,0
1971,Low,0,13,0
1972,Low,0,17,0
1973,Low,0,22,0
1974,Low,0,17,0
1975,Low,0,16,0
1976,Low,0,15,0
1977,Low,0,23,0
1978,Low,0,29,0
1979,Low,0,36,0
1980,Low,1,30,0
1981,Low,1,22,0
1982,Low,1,19,0
1983,Low,0,16,0
1984,Low,0,37,0
1985,Low,1,29,0
1986,Low,1,42,0
1987,Low,0,35,0
1988,Low,0,37,0
1989,Low,3,31,0
1990,Low,6,33,0
1991,Low,1,28,0
1992,Low,6,38,0
1993,Low,1,28,0
1994,Low,3,33,0
1995,Low,2,48,0
1996,Low,1,40,0
1997,Low,4,27,0
1998,Low,0,28,0
1999,Low,1,47,0
2000,Low,0,91,0
2001,Low,1,79,0
2002,Low,0,75,0
2003,Low,0,80,0
2004,Low,0,88,0
2005,Low,1,58,1
2006,Low,3,67,0
2007,Low,128,75,23
2008,Low,40,59,6
2009,Low,102,65,8
2010,Low,75,67,8
2011,Low,39,46,2
2012,Low,18,45,3
2013,Low,22,82,3
2014,Low,67,168,5
2015,Low,67,73,10
2016,Low,93,67,8
2017,Low,90,61,4
2018,Low,68,38,9
2019,Low,171,109,18
2020,Low,84,365,48
2021,Low,139,295,35
2022,Low,154,187,30
1970,High,0,7,0
1971,High,0,10,0
1972,High,0,18,0
1973,High,1,14,0
1974,High,0,18,0
1975,High,0,11,0
1976,High,0,14,0
1977,High,0,19,0
1978,High,0,15,0
1979,High,1,34,0
1980,High,1,23,0
1981,High,0,27,0
1982,High,0,19,0
1983,High,2,21,0
1984,High,0,27,0
1985,High,0,27,0
1986,High,0,15,0
1987,High,1,41,0
1988,High,6,35,0
1989,High,16,31,1
1990,High,13,33,0
1991,High,13,34,1
1992,High,19,34,0
1993,High,10,37,4
1994,High,2,34,0
1995,High,21,34,1
1996,High,17,38,0
1997,High,16,28,0
1998,High,28,41,0
1999,High,24,47,0
2000,High,15,106,2
2001,High,19,69,0
2002,High,16,89,2
2003,High,15,79,2
2004,High,9,60,0
2005,High,18,93,3
2006,High,24,65,1
2007,High,272,84,10
2008,High,182,82,22
2009,High,288,71,20
2010,High,180,84,17
2011,High,178,116,21
2012,High,162,76,6
2013,High,112,131,14
2014,High,163,111,13
2015,High,220,54,8
2016,High,188,79,15
2017,High,199,61,6
2018,High,213,102,28
2019,High,304,73,21
2020,High,129,515,75
2021,High,261,477,103
2022,High,262,266,59
