Year,Speeches,Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
1970,70,0,22,0,0,0.31,0
1971,116,0,38,0,0,0.33,0
1972,125,0,47,0,0,0.38,0
1973,120,1,42,0,0.01,0.35,0
1974,129,0,45,0,0,0.35,0
1975,126,0,30,0,0,0.24,0
1976,134,0,39,0,0,0.29,0
1977,140,2,59,0,0.01,0.42,0
1978,141,4,50,0,0.03,0.35,0
1979,144,2,63,0,0.01,0.44,0
1980,149,3,65,0,0.02,0.44,0
1981,145,2,54,0,0.01,0.37,0
1982,147,2,51,0,0.01,0.35,0
1983,149,1,52,0,0.01,0.35,0
1984,150,0,64,0,0,0.43,0
1985,137,1,82,0,0.01,0.6,0
1986,149,2,65,0,0.01,0.44,0
1987,152,1,71,0,0.01,0.47,0
1988,154,16,67,2,0.1,0.44,0.01
1989,153,35,70,3,0.23,0.46,0.02
1990,156,23,75,1,0.15,0.48,0.01
1991,162,30,62,3,0.19,0.38,0.02
1992,167,29,70,0,0.17,0.42,0
1993,175,18,77,1,0.1,0.44,0.01
1994,178,15,90,0,0.08,0.51,0
1995,172,22,91,4,0.13,0.53,0.02
1996,181,25,89,2,0.14,0.49,0.01
1997,176,31,73,0,0.18,0.41,0
1998,181,30,73,2,0.17,0.4,0.01
1999,181,18,91,3,0.1,0.5,0.02
2000,178,33,119,2,0.19,0.67,0.01
2001,189,32,112,3,0.17,0.59,0.02
2002,188,30,116,8,0.16,0.62,0.04
2003,189,24,120,7,0.13,0.63,0.04
2004,192,28,126,4,0.15,0.66,0.02
2005,185,32,124,6,0.17,0.67,0.03
2006,193,36,123,8,0.19,0.64,0.04
2007,191,161,103,30,0.84,0.54,0.16
2008,192,157,116,34,0.82,0.6,0.18
2009,193,172,114,44,0.89,0.59,0.23
2010,189,155,107,39,0.82,0.57,0.21
2011,194,137,113,35,0.71,0.58,0.18
2012,195,110,98,19,0.56,0.5,0.1
2013,193,100,127,20,0.52,0.66,0.1
2014,194,134,148,47,0.69,0.76,0.24
2015,193,147,110,29,0.76,0.57,0.15
2016,194,156,109,30,0.8,0.56,0.15
2017,196,158,104,24,0.81,0.53,0.12
2018,196,147,107,38,0.75,0.55,0.19
2019,195,175,117,43,0.9,0.6,0.22
2020,193,147,191,91,0.76,0.99,0.47
2021,194,176,193,116,0.91,0.99,0.6
2022,193,175,178,97,0.91,0.92,0.5
