,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.33,1.0,0.0
1,2012,South and Central America,0.5,1.0,0.0
2,2013,South and Central America,0.0,1.0,0.0
3,2014,South and Central America,0.5,1.0,0.0
4,2015,South and Central America,0.5,1.0,0.0
5,2016,South and Central America,0.5,1.0,0.0
6,2017,South and Central America,0.67,1.0,0.33
7,2018,South and Central America,1.0,1.0,0.5
8,2019,South and Central America,1.0,1.0,0.67
9,2020,South and Central America,0.5,0.5,0.5
10,2021,South and Central America,1.0,1.0,0.67
11,2022,South and Central America,0.67,1.0,0.67
