,WHO,Year,intersection,climate,health,sum
0,Americas,2011,10.0,220.0,1176.0,1406.0
1,Americas,2012,10.0,251.0,1273.0,1534.0
2,Americas,2013,25.0,288.0,1503.0,1816.0
3,Americas,2014,14.0,279.0,1363.0,1656.0
4,Americas,2015,23.0,362.0,2009.0,2394.0
5,Americas,2016,16.0,380.0,1368.0,1764.0
6,Americas,2017,21.0,485.0,1878.0,2384.0
7,Americas,2018,39.0,292.0,1774.0,2105.0
8,Americas,2019,22.0,346.0,1965.0,2333.0
9,Americas,2020,42.0,269.0,1144.0,1455.0
10,Americas,2021,81.0,511.0,3455.0,4047.0
11,Americas,2022,81.0,680.0,2908.0,3669.0
