,Sector,Climate,Health,Intersection,Year
0,Banks,0.0,0.0,0.0,2022
1,Construction & Materials,0.33,0.67,0.11,2022
2,Diversified,1.0,1.0,0.0,2022
3,Electricity,0.8,0.8,0.2,2022
4,Financial Services,0.67,0.8,0.27,2022
5,Food & Drug Retailers,0.0,1.0,0.0,2022
6,Food Producers,0.0,0.0,0.0,2022
7,"Gas, Water & Multiutilities",0.0,0.0,0.0,2022
8,General Industrials,1.0,0.5,0.0,2022
9,General Retailers,1.0,1.0,1.0,2022
10,Industrial Metals & Mining,0.6,0.8,0.4,2022
11,Media,0.0,0.0,0.0,2022
12,Mobile Telecommunications,0.5,0.5,0.0,2022
13,Not Applicable,0.67,1.0,0.0,2022
14,Oil & Gas Producers,0.71,0.83,0.21,2022
15,"Oil Equipment, Services & D...",0.67,1.0,0.0,2022
16,Pharmaceuticals & Biotechno...,1.0,1.0,1.0,2022
17,Real Estate Investment & Se...,0.0,1.0,0.0,2022
18,Technology Hardware & Equip...,1.0,1.0,1.0,2022
