,Year,intersection,health,climate
0,2011,0.5876288659793815,13.216494845360824,5.752577319587629
1,2012,0.1893939393939394,9.727272727272727,3.6818181818181817
2,2013,0.12987012987012986,10.376623376623376,3.8051948051948052
3,2014,0.18354430379746836,10.208860759493671,3.1139240506329116
4,2015,0.22527472527472528,9.148351648351648,3.32967032967033
5,2016,0.2727272727272727,9.759358288770054,3.304812834224599
6,2017,0.26666666666666666,9.57948717948718,3.830769230769231
7,2018,0.3484848484848485,10.671717171717171,5.126262626262626
8,2019,0.3788546255506608,11.54625550660793,6.581497797356828
9,2020,0.7162162162162162,14.256756756756756,9.216216216216216
10,2021,1.3832752613240418,19.536585365853657,11.13588850174216
11,2022,1.3763066202090593,18.24390243902439,15.358885017421603
