,Year,WHO,Climate,Health,Intersection
0,2011,Eastern Mediterranean,0.5,1.0,0.33
1,2012,Eastern Mediterranean,0.5,0.9,0.2
2,2013,Eastern Mediterranean,0.5,0.83,0.17
3,2014,Eastern Mediterranean,0.4,0.6,0.07
4,2015,Eastern Mediterranean,0.7,0.95,0.15
5,2016,Eastern Mediterranean,0.56,0.68,0.08
6,2017,Eastern Mediterranean,0.65,0.85,0.08
7,2018,Eastern Mediterranean,0.54,0.82,0.18
8,2019,Eastern Mediterranean,0.67,0.89,0.11
9,2020,Eastern Mediterranean,0.67,0.88,0.17
10,2021,Eastern Mediterranean,0.69,0.9,0.33
11,2022,Eastern Mediterranean,0.8,0.91,0.34
