,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,High,2013,0.0,2.0,64.0,66.0,Health Care Equipment & Ser...
1,High,2014,0.0,0.0,43.0,43.0,Health Care Equipment & Ser...
2,High,2015,0.0,1.0,43.0,44.0,Health Care Equipment & Ser...
3,High,2016,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
4,Very High,2011,0.0,18.0,203.0,221.0,Health Care Equipment & Ser...
5,Very High,2012,3.0,39.0,373.0,415.0,Health Care Equipment & Ser...
6,Very High,2013,0.0,57.0,684.0,741.0,Health Care Equipment & Ser...
7,Very High,2014,9.0,84.0,1052.0,1145.0,Health Care Equipment & Ser...
8,Very High,2015,8.0,109.0,1213.0,1330.0,Health Care Equipment & Ser...
9,Very High,2016,3.0,115.0,1013.0,1131.0,Health Care Equipment & Ser...
10,Very High,2017,10.0,161.0,1613.0,1784.0,Health Care Equipment & Ser...
11,Very High,2018,28.0,178.0,1913.0,2119.0,Health Care Equipment & Ser...
12,Very High,2019,26.0,212.0,1342.0,1580.0,Health Care Equipment & Ser...
13,Very High,2020,58.0,262.0,2033.0,2353.0,Health Care Equipment & Ser...
14,Very High,2021,141.0,654.0,4748.0,5543.0,Health Care Equipment & Ser...
15,Very High,2022,161.0,822.0,4748.0,5731.0,Health Care Equipment & Ser...
