,HDI Level (2021),Year,intersection,climate,health,sum
0,High,2011,1.0,2.0,39.0,42.0
1,High,2012,8.0,34.0,147.0,189.0
2,High,2013,1.0,20.0,179.0,200.0
3,High,2014,5.0,40.0,253.0,298.0
4,High,2015,4.0,21.0,211.0,236.0
5,High,2016,3.0,44.0,151.0,198.0
6,High,2017,1.0,18.0,66.0,85.0
7,High,2018,1.0,14.0,97.0,112.0
8,High,2019,5.0,27.0,118.0,150.0
9,High,2020,7.0,39.0,121.0,167.0
10,High,2021,4.0,24.0,129.0,157.0
11,High,2022,3.0,31.0,120.0,154.0
12,Very High,2011,577.0,9191.0,19322.0,29090.0
13,Very High,2012,599.0,10478.0,23851.0,34928.0
14,Very High,2013,672.0,10779.0,23975.0,35426.0
15,Very High,2014,655.0,11671.0,25619.0,37945.0
16,Very High,2015,652.0,10962.0,25918.0,37532.0
17,Very High,2016,802.0,12429.0,27661.0,40892.0
18,Very High,2017,963.0,12978.0,28656.0,42597.0
19,Very High,2018,940.0,13918.0,32418.0,47276.0
20,Very High,2019,1264.0,18137.0,36909.0,56310.0
21,Very High,2020,1690.0,22762.0,41310.0,65762.0
22,Very High,2021,4840.0,42242.0,97405.0,144487.0
23,Very High,2022,5311.0,59934.0,99508.0,164753.0
