country,year,climate_count,health_count,intersection_count
AFG,1962,0,1,0
AFG,1963,0,2,0
AFG,1968,0,1,0
AFG,1984,0,3,0
AFG,1985,0,1,0
AFG,1986,0,1,0
AFG,1987,0,1,0
AFG,1988,0,1,0
AFG,1990,0,1,0
AFG,1993,0,3,0
AFG,1995,0,2,0
AFG,2004,0,2,0
AFG,2005,0,1,0
AFG,2006,0,2,0
AFG,2007,1,2,0
AFG,2008,1,0,0
AFG,2009,0,1,0
AFG,2011,0,1,0
AFG,2012,0,1,0
AFG,2013,0,1,0
AFG,2014,0,2,0
AFG,2015,0,3,0
AFG,2016,1,1,0
AFG,2018,1,0,0
AFG,2019,5,0,0
AGO,1977,0,1,0
AGO,1978,0,2,0
AGO,1980,0,5,0
AGO,1981,0,1,0
AGO,1982,0,1,0
AGO,1983,0,1,0
AGO,1984,0,1,0
AGO,1989,0,4,0
AGO,1990,0,2,0
AGO,1991,0,3,0
AGO,1993,0,1,0
AGO,1995,0,1,0
AGO,1999,0,1,0
AGO,2001,0,2,0
AGO,2002,0,2,0
AGO,2003,0,2,0
AGO,2004,0,2,0
AGO,2005,0,5,0
AGO,2007,4,1,0
AGO,2008,2,0,0
AGO,2009,1,6,0
AGO,2010,2,1,0
AGO,2012,1,0,0
AGO,2014,0,2,0
AGO,2015,3,0,0
AGO,2016,7,2,4
AGO,2017,5,0,0
AGO,2018,1,0,0
AGO,2019,3,2,0
ALB,1959,0,2,0
ALB,1961,0,4,0
ALB,1963,0,7,0
ALB,1964,0,2,0
ALB,1974,0,1,0
ALB,1977,0,1,0
ALB,1979,0,1,0
ALB,1981,0,1,0
ALB,1991,0,1,0
ALB,1992,0,1,0
ALB,2001,0,3,0
ALB,2002,0,2,0
ALB,2004,0,1,0
ALB,2006,0,1,0
ALB,2008,2,1,1
ALB,2009,1,4,0
ALB,2010,1,0,0
ALB,2011,7,0,0
ALB,2012,1,0,0
ALB,2014,0,1,0
ALB,2015,1,0,0
ALB,2016,2,0,0
ALB,2017,1,0,0
ALB,2018,5,1,0
ALB,2019,8,0,0
AND,1994,0,1,0
AND,1995,0,3,0
AND,1997,1,2,0
AND,2000,0,3,0
AND,2003,1,1,0
AND,2005,0,1,0
AND,2006,0,1,0
AND,2007,1,7,1
AND,2008,3,5,0
AND,2009,2,3,0
AND,2010,7,3,3
AND,2011,7,8,1
AND,2013,0,3,0
AND,2014,7,1,0
AND,2015,8,0,0
AND,2016,7,0,0
AND,2017,13,0,0
AND,2018,4,0,0
AND,2019,9,0,0
ARE,1962,0,2,0
ARE,1974,0,1,0
ARE,1980,0,1,0
ARE,1981,0,1,0
ARE,1995,0,1,0
ARE,1996,0,4,0
ARE,2001,0,2,0
ARE,2002,0,3,0
ARE,2003,0,1,0
ARE,2004,0,3,0
ARE,2005,0,1,0
ARE,2006,0,2,0
ARE,2007,0,1,0
ARE,2009,1,2,0
ARE,2010,3,0,0
ARE,2012,2,0,0
ARE,2013,2,0,0
ARE,2014,6,0,0
ARE,2016,1,0,0
ARE,2017,0,2,0
ARE,2018,1,0,0
ARE,2019,1,0,0
ARG,1962,0,1,0
ARG,1963,0,1,0
ARG,1965,0,2,0
ARG,1969,0,4,0
ARG,1974,0,4,0
ARG,1977,0,1,0
ARG,1979,0,1,0
ARG,1980,0,1,0
ARG,1985,0,1,0
ARG,1989,0,2,0
ARG,1992,0,1,0
ARG,1996,0,1,0
ARG,1998,1,0,0
ARG,1999,1,0,0
ARG,2000,1,4,0
ARG,2004,2,4,0
ARG,2005,0,1,0
ARG,2006,1,1,0
ARG,2007,1,5,0
ARG,2009,2,0,0
ARG,2010,3,0,0
ARG,2011,0,2,0
ARG,2013,0,1,0
ARG,2014,0,2,0
ARG,2015,0,2,0
ARG,2016,2,0,0
ARG,2017,2,0,0
ARG,2018,2,1,0
ARG,2019,5,0,0
ARM,2002,0,1,0
ARM,2007,1,1,0
ARM,2010,1,0,0
ARM,2015,1,0,0
ARM,2019,3,0,0
ATG,1982,0,3,0
ATG,1983,0,2,0
ATG,1984,0,2,0
ATG,1986,0,1,0
ATG,1988,1,0,0
ATG,1989,6,0,0
ATG,1990,1,2,0
ATG,1991,6,5,1
ATG,1992,2,0,0
ATG,1993,4,2,4
ATG,1994,0,1,0
ATG,1995,11,1,0
ATG,1996,3,5,0
ATG,1997,1,2,0
ATG,1998,0,1,0
ATG,1999,0,2,0
ATG,2000,0,1,0
ATG,2001,7,0,0
ATG,2002,1,2,1
ATG,2003,3,2,0
ATG,2004,0,2,0
ATG,2005,2,3,0
ATG,2006,0,1,0
ATG,2007,5,12,1
ATG,2008,9,1,0
ATG,2009,12,2,2
ATG,2010,6,3,1
ATG,2011,1,7,0
ATG,2012,10,15,0
ATG,2013,5,12,0
ATG,2014,3,3,2
ATG,2015,7,0,0
ATG,2016,7,2,0
ATG,2017,3,0,0
ATG,2018,8,3,1
ATG,2019,21,0,0
AUS,1959,1,3,0
AUS,1962,0,2,0
AUS,1963,0,1,0
AUS,1964,0,1,0
AUS,1965,0,3,0
AUS,1968,0,1,0
AUS,1969,0,1,0
AUS,1971,0,1,0
AUS,1976,0,2,0
AUS,1977,1,0,0
AUS,1978,0,1,0
AUS,1979,0,2,0
AUS,1984,0,1,0
AUS,1985,0,2,0
AUS,1986,0,1,0
AUS,1987,0,1,0
AUS,1988,0,1,0
AUS,1989,0,2,0
AUS,1990,0,6,0
AUS,1991,1,0,0
AUS,1994,0,2,0
AUS,1995,0,3,0
AUS,1996,0,2,0
AUS,1997,2,0,0
AUS,1999,0,1,0
AUS,2001,0,1,0
AUS,2003,0,1,0
AUS,2006,8,1,1
AUS,2007,9,1,1
AUS,2008,6,1,0
AUS,2009,15,1,0
AUS,2010,16,3,6
AUS,2011,3,2,1
AUS,2012,1,8,0
AUS,2013,0,2,0
AUS,2014,1,1,0
AUS,2015,1,1,0
AUS,2016,5,2,4
AUS,2017,2,2,1
AUS,2018,4,1,0
