,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,118.0,15.0
1,Alternative Energy,2.58,40.67,24.92
2,Automobiles & Parts,2.57,57.14,14.71
3,Banks,1.75,92.5,33.5
4,Basic Resources,0.0,1.0,1.0
5,Beverages,3.0,38.0,14.25
6,Chemicals,2.47,48.07,10.53
7,Construction & Materials,0.88,29.75,8.33
8,Diversified,0.66,22.65,6.52
9,Electricity,1.17,32.92,17.92
10,Electronic & Electrical Equ...,0.85,15.15,3.46
11,Equity Investment Instruments,0.5,29.5,5.5
12,Financial Services,1.05,46.0,16.53
13,Fixed Line Telecommunications,0.86,31.57,14.43
14,Food & Drug Retailers,0.0,90.0,5.25
15,Food Producers,0.49,20.72,5.82
16,Forestry & Paper,7.67,84.0,50.33
17,"Gas, Water & Multiutilities",4.8,46.95,19.9
18,General Industrials,1.29,26.82,10.26
19,General Retailers,1.53,36.76,8.12
20,Health Care Equipment & Ser...,4.06,86.61,11.06
21,Household Goods & Home Cons...,3.0,13.0,3.0
22,Industrial Engineering,1.18,21.91,9.88
23,Industrial Goods & Services,0.0,15.83,2.33
24,Industrial Metals & Mining,0.36,25.64,9.0
25,Industrial Transportation,1.19,31.94,10.19
26,Leisure Goods,0.0,6.0,7.0
27,Life Insurance,4.0,30.5,11.5
28,Media,1.42,42.75,7.08
29,Mining,0.0,14.0,0.67
30,Mobile Telecommunications,1.0,62.0,22.0
31,Nonlife Insurance,1.17,94.0,8.5
32,Oil & Gas Producers,2.0,39.5,10.08
33,"Oil Equipment, Services & D...",1.67,35.67,20.0
34,Other,0.0,10.5,2.0
35,Personal Goods,1.5,45.75,21.88
36,Pharmaceuticals & Biotechno...,1.75,107.25,6.5
37,Real Estate Investment & Se...,1.31,25.94,6.56
38,Retail,0.0,23.33,2.0
39,Software & Computer Services,1.07,20.93,7.0
40,Support Services,0.32,16.01,3.67
41,Technology Hardware & Equip...,0.2,11.73,1.8
42,Travel & Leisure,1.09,29.35,11.17
