,Sector,intersection,health,climate
0,Aerospace & Defense,1.0,18.0,1.0
1,Alternative Energy,0.0,2.5,0.0
2,Automobiles & Parts,2.0,25.0,13.0
3,Banks,1.33,16.67,4.67
4,Beverages,12.0,285.0,54.0
5,Electricity,2.0,44.0,19.0
6,Equity Investment Instruments,0.0,26.0,8.0
7,Financial Services,1.0,28.0,10.0
8,Food Producers,0.0,97.0,6.0
9,General Industrials,1.0,40.0,34.0
10,Nonequity Investment Instru...,1.0,6.0,7.0
11,Real Estate Investment & Se...,0.5,64.5,6.0
12,Support Services,1.0,25.0,1.0
13,Travel & Leisure,0.0,8.0,1.0
