,Sector,intersection,climate,health
0,Aerospace & Defense,1.0,3.0,27.0
1,Alternative Energy,0.0,1.0,27.0
2,Automobiles & Parts,7.0,46.0,70.0
3,Banks,6.0,155.0,432.0
4,Beverages,29.0,215.0,835.0
5,Electricity,16.0,65.0,219.0
6,Equity Investment Instruments,0.0,8.0,26.0
7,Financial Services,6.0,72.0,215.0
8,Food Producers,4.0,65.0,383.0
9,General Industrials,7.0,188.0,261.0
10,Nonequity Investment Instru...,2.0,18.0,18.0
11,Not Applicable,0.0,0.0,0.0
12,Real Estate Investment & Se...,1.0,12.0,129.0
13,Software & Computer Services,0.0,0.0,0.0
14,Support Services,1.0,4.0,61.0
15,Travel & Leisure,0.0,2.0,46.0
