,Year,intersection,health,climate
0,2011,0.0,7.5,5.5
1,2012,0.16666666666666666,7.666666666666667,4.166666666666667
2,2013,0.3333333333333333,11.333333333333334,5.333333333333333
3,2014,0.2857142857142857,9.142857142857142,2.2857142857142856
4,2015,0.875,20.25,7.625
5,2016,0.4,9.2,1.4
6,2017,0.2857142857142857,27.571428571428573,12.571428571428571
7,2018,0.3,20.2,7.6
8,2019,0.2,16.5,6.3
9,2020,0.5714285714285714,25.428571428571427,7.0
10,2021,1.95,54.95,12.2
11,2022,1.3333333333333333,42.583333333333336,15.166666666666666
