,Sector,intersection,climate,health
0,Automobiles & Parts,8.0,183.0,227.0
1,Banks,0.0,42.0,161.0
2,Beverages,0.0,15.0,47.0
3,Diversified,31.0,184.0,507.0
4,Electricity,22.0,967.0,473.0
5,Financial Services,6.0,118.0,222.0
6,Fixed Line Telecommunications,46.0,337.0,1183.0
7,Food Producers,0.0,0.0,10.0
8,"Gas, Water & Multiutilities",14.0,505.0,772.0
9,General Industrials,15.0,114.0,257.0
10,General Retailers,9.0,283.0,940.0
11,Health Care Equipment & Ser...,0.0,5.0,11.0
12,Industrial Engineering,2.0,17.0,25.0
13,Industrial Transportation,10.0,206.0,683.0
14,Life Insurance,11.0,176.0,158.0
15,Nonlife Insurance,0.0,0.0,0.0
16,Not Applicable,0.0,0.0,40.0
17,Oil & Gas Producers,19.0,505.0,321.0
18,Pharmaceuticals & Biotechno...,0.0,7.0,198.0
19,Real Estate Investment & Se...,0.0,1.0,6.0
20,Software & Computer Services,1.0,10.0,81.0
21,Support Services,0.0,45.0,120.0
22,Travel & Leisure,0.0,3.0,22.0
