,Sector,intersection,health,climate
0,Automobiles & Parts,2.5,24.0,30.5
1,Diversified,0.0,13.5,9.5
2,Financial Services,1.25,44.0,25.0
3,Fixed Line Telecommunications,3.33,113.67,26.0
4,"Gas, Water & Multiutilities",3.0,52.0,19.0
5,General Industrials,2.75,32.25,9.75
6,General Retailers,1.25,50.75,8.5
7,Industrial Transportation,0.0,23.0,2.0
8,Nonlife Insurance,0.0,0.0,0.0
9,Oil & Gas Producers,1.0,43.0,75.0
10,Pharmaceuticals & Biotechno...,0.0,36.0,3.0
11,Real Estate Investment & Se...,0.0,6.0,1.0
12,Software & Computer Services,0.0,17.0,3.0
13,Support Services,0.0,5.29,0.71
