,Year,intersection,health,climate
0,2011,0.0625,13.9375,0.875
1,2012,0.11764705882352941,17.441176470588236,3.5
2,2013,0.08333333333333333,15.555555555555555,3.9444444444444446
3,2014,0.15151515151515152,17.03030303030303,3.787878787878788
4,2015,0.06451612903225806,17.419354838709676,3.0
5,2016,0.5,14.821428571428571,4.857142857142857
6,2017,0.1724137931034483,14.275862068965518,2.3793103448275863
7,2018,0.16666666666666666,13.366666666666667,2.433333333333333
8,2019,0.03333333333333333,12.066666666666666,2.3666666666666667
9,2020,0.0,10.210526315789474,3.736842105263158
10,2021,1.1304347826086956,28.347826086956523,3.347826086956522
11,2022,0.56,29.12,7.0
