,Sector,intersection,climate,health
0,Alternative Energy,14.0,49.0,32.0
1,Banks,22.0,224.0,1036.0
2,Chemicals,2.0,38.0,55.0
3,Construction & Materials,0.0,3.0,39.0
4,Diversified,8.0,76.0,177.0
5,Financial Services,2.0,13.0,59.0
6,Food Producers,6.0,28.0,148.0
7,"Gas, Water & Multiutilities",0.0,0.0,3.0
8,General Industrials,0.0,14.0,70.0
9,General Retailers,0.0,4.0,13.0
10,Health Care Equipment & Ser...,0.0,0.0,58.0
11,Media,0.0,6.0,17.0
12,Mobile Telecommunications,0.0,0.0,182.0
13,Oil & Gas Producers,4.0,57.0,292.0
14,"Oil Equipment, Services & D...",0.0,5.0,12.0
15,Pharmaceuticals & Biotechno...,0.0,0.0,2.0
16,Real Estate Investment & Se...,0.0,4.0,16.0
17,Software & Computer Services,0.0,0.0,0.0
18,Support Services,0.0,22.0,82.0
