,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,0.0,1.0,0.0,2022
1,Automobiles & Parts,0.73,1.0,0.09,2022
2,Banks,0.71,0.86,0.71,2022
3,Beverages,1.0,1.0,1.0,2022
4,Chemicals,0.14,1.0,0.14,2022
5,Construction & Materials,0.6,0.6,0.0,2022
6,Diversified,0.5,1.0,0.0,2022
7,Electricity,0.92,0.88,0.24,2022
8,Equity Investment Instruments,1.0,1.0,0.0,2022
9,Financial Services,0.64,0.82,0.18,2022
10,Food & Drug Retailers,1.0,1.0,1.0,2022
11,Forestry & Paper,1.0,1.0,0.0,2022
12,"Gas, Water & Multiutilities",1.0,1.0,1.0,2022
13,General Industrials,0.92,0.42,0.25,2022
14,General Retailers,0.78,1.0,0.11,2022
15,Health Care Equipment & Ser...,0.67,0.83,0.33,2022
16,Household Goods & Home Cons...,0.0,1.0,0.0,2022
17,Industrial Engineering,0.0,1.0,0.0,2022
18,Industrial Metals & Mining,1.0,1.0,0.2,2022
19,Media,0.09,0.13,0.0,2022
20,Mobile Telecommunications,1.0,1.0,0.0,2022
21,Oil & Gas Producers,0.84,0.88,0.32,2022
22,Pharmaceuticals & Biotechno...,0.67,1.0,0.33,2022
23,Real Estate Investment & Se...,1.0,1.0,0.86,2022
24,Software & Computer Services,1.0,0.8,0.0,2022
25,Support Services,0.22,1.0,0.0,2022
26,Technology Hardware & Equip...,0.14,1.0,0.0,2022
27,Travel & Leisure,0.67,1.0,0.67,2022
