,Sector,intersection,climate,health
0,Alternative Energy,0.0,17.0,18.0
1,Automobiles & Parts,2.0,5.0,40.0
2,Banks,0.0,20.0,101.0
3,Beverages,1.0,7.0,24.0
4,Chemicals,0.0,0.0,22.0
5,Construction & Materials,10.0,33.0,130.0
6,Diversified,0.0,10.0,12.0
7,Electronic & Electrical Equ...,0.0,0.0,8.0
8,Equity Investment Instruments,0.0,0.0,4.0
9,Financial Services,0.0,3.0,12.0
10,Food Producers,0.0,30.0,150.0
11,"Gas, Water & Multiutilities",0.0,6.0,43.0
12,General Industrials,0.0,5.0,87.0
13,Industrial Engineering,0.0,0.0,9.0
14,Mining,0.0,7.0,49.0
15,Mobile Telecommunications,0.0,5.0,14.0
16,Oil & Gas Producers,4.0,21.0,121.0
17,"Oil Equipment, Services & D...",0.0,0.0,3.0
18,Personal Goods,0.0,0.0,65.0
19,Pharmaceuticals & Biotechno...,0.0,1.0,10.0
20,Software & Computer Services,0.0,0.0,21.0
21,Support Services,0.0,1.0,9.0
22,Travel & Leisure,0.0,0.0,1.0
