,Year,intersection,health,climate
0,2011,0.0,12.0,0.0
1,2012,0.0,11.0,0.0
2,2013,0.0,5.428571428571429,0.14285714285714285
3,2014,0.0,3.142857142857143,1.5714285714285714
4,2015,0.1111111111111111,8.0,1.8888888888888888
5,2016,0.2,5.5,1.3
6,2017,0.0,7.125,1.125
7,2018,0.06666666666666667,4.066666666666666,0.8666666666666667
8,2019,0.05263157894736842,6.368421052631579,1.1578947368421053
9,2020,0.2857142857142857,18.285714285714285,1.2857142857142858
10,2021,0.375,9.0625,1.875
11,2022,0.23529411764705882,11.588235294117647,2.7058823529411766
