,Sector,intersection,climate,health
0,Alternative Energy,0.0,27.0,23.0
1,Beverages,16.0,188.0,205.0
2,Chemicals,1.0,106.0,159.0
3,Construction & Materials,10.0,116.0,600.0
4,Diversified,38.0,771.0,1959.0
5,Financial Services,3.0,48.0,82.0
6,Food Producers,18.0,210.0,937.0
7,General Industrials,11.0,174.0,521.0
8,Health Care Equipment & Ser...,0.0,0.0,232.0
9,Industrial Transportation,3.0,25.0,21.0
10,Mobile Telecommunications,0.0,22.0,50.0
11,Not Applicable,0.0,16.0,206.0
12,Oil & Gas Producers,6.0,153.0,368.0
13,Personal Goods,34.0,308.0,956.0
14,Software & Computer Services,0.0,0.0,49.0
15,Support Services,2.0,1.0,29.0
16,Technology Hardware & Equip...,0.0,0.0,2.0
17,Travel & Leisure,0.0,6.0,2.0
