,Sector,intersection,climate,health
0,Aerospace & Defense,35.0,670.0,764.0
1,Alternative Energy,8.0,291.0,152.0
2,Automobiles & Parts,30.0,934.0,1022.0
3,Banks,12.0,510.0,541.0
4,Beverages,42.0,635.0,1086.0
5,Chemicals,26.0,252.0,761.0
6,Construction & Materials,165.0,2140.0,2699.0
7,Diversified,26.0,214.0,596.0
8,Electricity,4.0,185.0,125.0
9,Electronic & Electrical Equ...,17.0,90.0,168.0
10,Equity Investment Instruments,81.0,577.0,893.0
11,Financial Services,80.0,1853.0,1810.0
12,Fixed Line Telecommunications,3.0,32.0,107.0
13,Food & Drug Retailers,21.0,233.0,962.0
14,Food Producers,32.0,498.0,1018.0
15,Forestry & Paper,63.0,949.0,663.0
16,General Industrials,75.0,1009.0,2000.0
17,General Retailers,44.0,960.0,572.0
18,Health Care Equipment & Ser...,20.0,78.0,1447.0
19,Household Goods & Home Cons...,23.0,346.0,581.0
20,Industrial Engineering,123.0,1235.0,1763.0
21,Industrial Metals & Mining,27.0,1168.0,1058.0
22,Industrial Transportation,23.0,351.0,380.0
23,Leisure Goods,3.0,66.0,178.0
24,Life Insurance,38.0,528.0,1698.0
25,Media,7.0,107.0,190.0
26,Mobile Telecommunications,6.0,332.0,668.0
27,Nonlife Insurance,39.0,331.0,694.0
28,Oil & Gas Producers,41.0,684.0,742.0
29,"Oil Equipment, Services & D...",9.0,182.0,171.0
30,Personal Goods,34.0,663.0,940.0
31,Pharmaceuticals & Biotechno...,27.0,228.0,1588.0
32,Real Estate Investment & Se...,185.0,2945.0,3416.0
33,Real Estate Investment Trusts,0.0,20.0,32.0
34,Software & Computer Services,15.0,408.0,500.0
35,Support Services,44.0,531.0,1048.0
36,Technology Hardware & Equip...,41.0,620.0,821.0
37,Travel & Leisure,45.0,1100.0,1111.0
