,Sector,intersection,health,climate
0,Aerospace & Defense,3.0,69.0,26.75
1,Alternative Energy,1.0,24.5,20.5
2,Automobiles & Parts,1.0,75.0,32.0
3,Banks,1.0,30.8,18.4
4,Beverages,4.67,76.67,48.0
5,Chemicals,2.5,70.0,15.5
6,Construction & Materials,4.0,43.0,25.82
7,Diversified,1.44,30.56,9.78
8,Electricity,3.0,36.0,43.0
9,Electronic & Electrical Equ...,0.67,8.33,5.67
10,Equity Investment Instruments,8.0,76.5,29.0
11,Financial Services,2.82,47.27,32.64
12,Fixed Line Telecommunications,1.0,23.0,6.0
13,Food & Drug Retailers,1.0,48.25,10.0
14,Food Producers,5.5,137.5,50.0
15,Forestry & Paper,14.5,78.5,83.5
16,General Industrials,0.71,26.76,9.53
17,General Retailers,0.33,12.83,6.83
18,Health Care Equipment & Ser...,1.0,47.33,3.0
19,Household Goods & Home Cons...,2.4,39.8,16.6
20,Industrial Engineering,3.56,44.44,24.33
21,Industrial Metals & Mining,1.17,52.17,36.33
22,Industrial Transportation,0.75,13.25,7.75
23,Leisure Goods,3.0,109.0,27.0
24,Life Insurance,2.0,101.75,31.5
25,Media,1.5,31.5,13.0
26,Mobile Telecommunications,0.5,34.5,10.25
27,Nonlife Insurance,5.33,76.33,27.33
28,Oil & Gas Producers,1.5,28.25,25.25
29,"Oil Equipment, Services & D...",0.0,13.0,30.0
30,Personal Goods,2.2,35.6,16.8
31,Pharmaceuticals & Biotechno...,1.0,46.0,16.0
32,Real Estate Investment & Se...,2.64,55.95,38.64
33,Real Estate Investment Trusts,0.0,32.0,20.0
34,Software & Computer Services,0.73,9.64,5.45
35,Support Services,0.42,15.95,3.68
36,Technology Hardware & Equip...,3.0,41.83,21.67
37,Travel & Leisure,1.33,65.17,32.0
