,Year,intersection,health,climate
0,2011,1.0714285714285714,17.285714285714285,9.928571428571429
1,2012,0.03571428571428571,6.821428571428571,2.642857142857143
2,2013,0.3181818181818182,8.545454545454545,1.9090909090909092
3,2014,0.0,7.6,1.6
4,2015,0.0,10.9,2.7
5,2016,0.3333333333333333,8.933333333333334,2.0
6,2017,0.13333333333333333,12.466666666666667,2.533333333333333
7,2018,0.1111111111111111,19.11111111111111,7.333333333333333
8,2019,0.25,11.125,9.375
9,2020,0.7142857142857143,27.714285714285715,11.428571428571429
10,2021,1.95,36.3,28.3
11,2022,0.0,8.666666666666666,0.0
