,Sector,intersection,health,climate
0,Alternative Energy,0.0,95.5,36.0
1,Banks,1.0,36.0,1.0
2,Beverages,1.67,28.67,12.67
3,Chemicals,0.0,6.0,0.0
4,Construction & Materials,0.86,25.64,11.86
5,Diversified,0.85,20.31,9.15
6,Electricity,2.17,97.0,45.83
7,Financial Services,1.33,63.0,49.33
8,Fixed Line Telecommunications,0.33,54.67,13.33
9,Food Producers,0.17,38.17,5.17
10,"Gas, Water & Multiutilities",0.33,28.0,3.0
11,General Industrials,1.71,41.43,11.86
12,General Retailers,1.0,16.5,2.75
13,Health Care Equipment & Ser...,2.0,158.67,6.67
14,Industrial Engineering,0.0,12.0,3.0
15,Industrial Metals & Mining,1.0,48.0,17.0
16,Industrial Transportation,0.0,14.33,3.17
17,Media,1.0,57.0,9.0
18,Mining,0.0,109.0,13.0
19,Mobile Telecommunications,2.0,85.0,29.0
20,Nonlife Insurance,1.5,19.5,9.5
21,Oil & Gas Producers,1.0,47.67,8.11
22,"Oil Equipment, Services & D...",2.29,39.43,21.29
23,Personal Goods,0.0,8.0,0.0
24,Pharmaceuticals & Biotechno...,0.0,25.0,0.67
25,Software & Computer Services,0.25,26.25,1.5
26,Support Services,0.38,16.69,3.04
27,Travel & Leisure,1.0,38.0,3.0
