,Sector,intersection,health,climate
0,Alternative Energy,2.0,136.0,17.0
1,Automobiles & Parts,0.0,7.0,1.0
2,Beverages,1.0,99.0,16.0
3,Chemicals,0.0,6.5,0.0
4,Construction & Materials,1.0,38.25,13.25
5,Diversified,1.54,24.46,5.08
6,Electricity,4.11,179.78,30.78
7,Electronic & Electrical Equ...,1.0,34.5,5.5
8,Equity Investment Instruments,2.0,20.0,6.0
9,Financial Services,0.29,46.43,8.71
10,Fixed Line Telecommunications,2.0,70.67,14.0
11,Food Producers,2.29,86.86,7.43
12,Forestry & Paper,0.0,15.0,10.0
13,"Gas, Water & Multiutilities",1.83,82.67,9.5
14,General Industrials,0.62,42.85,3.69
15,General Retailers,1.5,27.75,3.5
16,Health Care Equipment & Ser...,0.33,126.0,4.33
17,Industrial Engineering,0.0,12.5,3.5
18,Industrial Transportation,1.38,68.12,11.38
19,Media,0.0,0.0,0.0
20,Mining,1.0,95.0,12.0
21,Nonlife Insurance,1.5,43.5,3.0
22,Oil & Gas Producers,1.0,61.12,8.88
23,"Oil Equipment, Services & D...",1.27,46.82,8.55
24,Pharmaceuticals & Biotechno...,1.2,41.0,1.4
25,Real Estate Investment & Se...,0.0,4.0,0.0
26,Software & Computer Services,0.5,31.67,2.33
27,Support Services,0.85,23.08,3.31
28,Travel & Leisure,0.5,67.5,4.5
