,Sector,Climate,Health,Intersection,Year
0,Banks,0.0,0.0,0.0,2022
1,Construction & Materials,1.0,1.0,0.0,2022
2,Diversified,1.0,1.0,1.0,2022
3,Electricity,0.67,0.67,0.0,2022
4,Financial Services,0.0,0.83,0.0,2022
5,Fixed Line Telecommunications,0.5,1.0,0.0,2022
6,Forestry & Paper,0.57,1.0,0.14,2022
7,"Gas, Water & Multiutilities",0.8,1.0,0.4,2022
8,General Industrials,0.0,1.0,0.0,2022
9,Health Care Equipment & Ser...,0.0,1.0,0.0,2022
10,Life Insurance,0.67,0.67,0.67,2022
11,Nonlife Insurance,0.5,1.0,0.0,2022
12,Not Applicable,1.0,1.0,0.0,2022
13,Oil & Gas Producers,0.71,1.0,0.14,2022
14,"Oil Equipment, Services & D...",0.0,0.0,0.0,2022
15,Pharmaceuticals & Biotechno...,0.0,1.0,0.0,2022
16,Software & Computer Services,0.4,0.4,0.0,2022
17,Support Services,0.49,0.92,0.0,2022
