,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,0.0,9.0,147.0,156.0
1,Very High,2012,0.0,18.0,122.0,140.0
2,Very High,2013,0.0,13.0,163.0,176.0
3,Very High,2014,1.0,16.0,197.0,214.0
4,Very High,2015,0.0,9.0,228.0,237.0
5,Very High,2016,2.0,7.0,225.0,234.0
6,Very High,2017,0.0,14.0,115.0,129.0
7,Very High,2018,4.0,11.0,200.0,215.0
8,Very High,2019,1.0,7.0,52.0,60.0
9,Very High,2020,0.0,3.0,10.0,13.0
10,Very High,2021,6.0,33.0,284.0,323.0
11,Very High,2022,4.0,34.0,256.0,294.0
