,Sector,intersection,climate,health
0,Aerospace & Defense,0.0,3.0,14.0
1,Automobiles & Parts,0.0,3.0,2.0
2,Banks,3.0,169.0,297.0
3,Construction & Materials,30.0,256.0,897.0
4,Diversified,12.0,484.0,604.0
5,Electronic & Electrical Equ...,9.0,201.0,694.0
6,Financial Services,14.0,205.0,272.0
7,Fixed Line Telecommunications,26.0,307.0,660.0
8,Food Producers,45.0,177.0,223.0
9,Forestry & Paper,0.0,12.0,19.0
10,General Industrials,0.0,173.0,237.0
11,General Retailers,3.0,81.0,425.0
12,Health Care Equipment & Ser...,12.0,35.0,1193.0
13,Industrial Metals & Mining,4.0,24.0,218.0
14,Industrial Transportation,15.0,273.0,814.0
15,Media,0.0,0.0,12.0
16,Mobile Telecommunications,29.0,346.0,795.0
17,Nonlife Insurance,0.0,5.0,2.0
18,Not Applicable,0.0,2.0,3.0
19,Oil & Gas Producers,106.0,942.0,2036.0
20,"Oil Equipment, Services & D...",0.0,16.0,7.0
21,Personal Goods,0.0,4.0,19.0
22,Pharmaceuticals & Biotechno...,1.0,2.0,24.0
23,Real Estate Investment & Se...,0.0,0.0,5.0
24,Software & Computer Services,0.0,6.0,183.0
25,Support Services,32.0,244.0,871.0
26,Technology Hardware & Equip...,0.0,153.0,302.0
27,Travel & Leisure,37.0,306.0,604.0
