,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,1.0,1.0,0.0,2021
1,Automobiles & Parts,1.0,1.0,0.0,2021
2,Banks,0.56,0.56,0.22,2021
3,Construction & Materials,0.8,0.69,0.31,2021
4,Diversified,0.92,0.92,0.23,2021
5,Electronic & Electrical Equ...,1.0,1.0,0.8,2021
6,Financial Services,0.93,0.86,0.43,2021
7,Fixed Line Telecommunications,1.0,1.0,0.5,2021
8,Food Producers,0.53,1.0,0.47,2021
9,Forestry & Paper,0.43,0.86,0.0,2021
10,General Industrials,0.77,1.0,0.0,2021
11,General Retailers,0.9,1.0,0.2,2021
12,Health Care Equipment & Ser...,0.5,1.0,0.33,2021
13,Industrial Metals & Mining,0.18,0.82,0.09,2021
14,Industrial Transportation,0.94,1.0,0.31,2021
15,Media,0.0,0.25,0.0,2021
16,Mobile Telecommunications,1.0,1.0,0.67,2021
17,Nonlife Insurance,0.75,0.5,0.0,2021
18,Not Applicable,1.0,1.0,0.0,2021
19,Oil & Gas Producers,1.0,1.0,0.86,2021
20,"Oil Equipment, Services & D...",0.5,0.5,0.0,2021
21,Personal Goods,0.4,0.6,0.0,2021
22,Pharmaceuticals & Biotechno...,0.5,1.0,0.5,2021
23,Real Estate Investment & Se...,0.0,1.0,0.0,2021
24,Software & Computer Services,0.71,1.0,0.0,2021
25,Support Services,0.97,1.0,0.71,2021
26,Technology Hardware & Equip...,0.62,0.69,0.0,2021
27,Travel & Leisure,1.0,0.93,0.53,2021
