,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,0,2011,12.0,36.0,119.0,167.0,Health Care Equipment & Ser...
1,0,2012,1.0,2.0,122.0,125.0,Health Care Equipment & Ser...
2,0,2013,6.0,26.0,84.0,116.0,Health Care Equipment & Ser...
3,0,2014,0.0,2.0,5.0,7.0,Health Care Equipment & Ser...
4,0,2016,1.0,4.0,59.0,64.0,Health Care Equipment & Ser...
5,0,2017,1.0,4.0,55.0,60.0,Health Care Equipment & Ser...
6,0,2018,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
7,0,2019,0.0,1.0,6.0,7.0,Health Care Equipment & Ser...
8,0,2020,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
9,0,2021,0.0,1.0,1.0,2.0,Health Care Equipment & Ser...
10,0,2022,5.0,14.0,46.0,65.0,Health Care Equipment & Ser...
11,High,2011,0.0,0.0,120.0,120.0,Health Care Equipment & Ser...
12,High,2012,5.0,45.0,926.0,976.0,Health Care Equipment & Ser...
13,High,2013,5.0,17.0,1378.0,1400.0,Health Care Equipment & Ser...
14,High,2014,0.0,13.0,401.0,414.0,Health Care Equipment & Ser...
15,High,2015,1.0,26.0,775.0,802.0,Health Care Equipment & Ser...
16,High,2016,3.0,9.0,648.0,660.0,Health Care Equipment & Ser...
17,High,2017,15.0,22.0,885.0,922.0,Health Care Equipment & Ser...
18,High,2018,23.0,66.0,1043.0,1132.0,Health Care Equipment & Ser...
19,High,2019,15.0,67.0,1391.0,1473.0,Health Care Equipment & Ser...
20,High,2020,14.0,49.0,1235.0,1298.0,Health Care Equipment & Ser...
21,High,2021,36.0,111.0,1802.0,1949.0,Health Care Equipment & Ser...
22,High,2022,114.0,205.0,2620.0,2939.0,Health Care Equipment & Ser...
23,Low,2016,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
24,Low,2017,0.0,0.0,2.0,2.0,Health Care Equipment & Ser...
25,Low,2018,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
26,Low,2019,0.0,0.0,4.0,4.0,Health Care Equipment & Ser...
27,Low,2020,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
28,Low,2021,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
29,Low,2022,0.0,0.0,12.0,12.0,Health Care Equipment & Ser...
30,Medium,2011,0.0,1.0,67.0,68.0,Health Care Equipment & Ser...
31,Medium,2012,1.0,3.0,125.0,129.0,Health Care Equipment & Ser...
32,Medium,2013,0.0,0.0,96.0,96.0,Health Care Equipment & Ser...
33,Medium,2014,44.0,24.0,206.0,274.0,Health Care Equipment & Ser...
34,Medium,2015,12.0,27.0,204.0,243.0,Health Care Equipment & Ser...
35,Medium,2016,8.0,7.0,166.0,181.0,Health Care Equipment & Ser...
36,Medium,2017,0.0,2.0,56.0,58.0,Health Care Equipment & Ser...
37,Medium,2018,12.0,11.0,146.0,169.0,Health Care Equipment & Ser...
38,Medium,2019,0.0,2.0,156.0,158.0,Health Care Equipment & Ser...
39,Medium,2020,0.0,3.0,39.0,42.0,Health Care Equipment & Ser...
40,Medium,2021,20.0,9.0,229.0,258.0,Health Care Equipment & Ser...
41,Medium,2022,1.0,5.0,121.0,127.0,Health Care Equipment & Ser...
42,Very High,2011,0.0,43.0,571.0,614.0,Health Care Equipment & Ser...
43,Very High,2012,4.0,59.0,741.0,804.0,Health Care Equipment & Ser...
44,Very High,2013,24.0,147.0,1545.0,1716.0,Health Care Equipment & Ser...
45,Very High,2014,21.0,122.0,1635.0,1778.0,Health Care Equipment & Ser...
46,Very High,2015,17.0,145.0,1811.0,1973.0,Health Care Equipment & Ser...
47,Very High,2016,16.0,150.0,1325.0,1491.0,Health Care Equipment & Ser...
48,Very High,2017,16.0,241.0,2207.0,2464.0,Health Care Equipment & Ser...
49,Very High,2018,41.0,281.0,2932.0,3254.0,Health Care Equipment & Ser...
50,Very High,2019,48.0,283.0,2765.0,3096.0,Health Care Equipment & Ser...
51,Very High,2020,77.0,349.0,2863.0,3289.0,Health Care Equipment & Ser...
52,Very High,2021,215.0,936.0,7039.0,8190.0,Health Care Equipment & Ser...
53,Very High,2022,340.0,1293.0,7043.0,8676.0,Health Care Equipment & Ser...
