,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,20.0,291.0,535.0,846.0
1,Very High,2012,38.0,471.0,897.0,1406.0
2,Very High,2013,14.0,284.0,616.0,914.0
3,Very High,2014,54.0,500.0,1234.0,1788.0
4,Very High,2015,28.0,337.0,894.0,1259.0
5,Very High,2016,13.0,285.0,736.0,1034.0
6,Very High,2017,8.0,207.0,498.0,713.0
7,Very High,2018,19.0,281.0,700.0,1000.0
8,Very High,2019,15.0,237.0,850.0,1102.0
9,Very High,2020,20.0,191.0,593.0,804.0
10,Very High,2021,71.0,589.0,2426.0,3086.0
11,Very High,2022,78.0,756.0,1453.0,2287.0
