,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,2.0,46.0,145.0,193.0
1,Very High,2012,9.0,189.0,204.0,402.0
2,Very High,2013,7.0,251.0,288.0,546.0
3,Very High,2014,7.0,134.0,247.0,388.0
4,Very High,2015,10.0,210.0,261.0,481.0
5,Very High,2016,18.0,376.0,391.0,785.0
6,Very High,2017,34.0,175.0,402.0,611.0
7,Very High,2018,16.0,217.0,367.0,600.0
8,Very High,2019,32.0,241.0,337.0,610.0
9,Very High,2020,45.0,278.0,484.0,807.0
10,Very High,2021,105.0,805.0,1372.0,2282.0
11,Very High,2022,85.0,1119.0,884.0,2088.0
