,Sector,intersection,climate,health
0,Alternative Energy,0.0,0.0,3.0
1,Automobiles & Parts,0.0,0.0,13.0
2,Chemicals,51.0,573.0,366.0
3,Construction & Materials,0.0,1.0,0.0
4,Diversified,23.0,186.0,199.0
5,Electricity,5.0,140.0,121.0
6,Electronic & Electrical Equ...,0.0,1.0,10.0
7,Food & Drug Retailers,34.0,192.0,639.0
8,Food Producers,97.0,867.0,1280.0
9,General Industrials,6.0,10.0,52.0
10,General Retailers,16.0,44.0,117.0
11,Health Care Equipment & Ser...,2.0,50.0,92.0
12,Media,18.0,343.0,30.0
13,Mobile Telecommunications,6.0,66.0,154.0
14,Oil & Gas Producers,102.0,1493.0,1710.0
15,Personal Goods,0.0,20.0,156.0
16,Real Estate Investment & Se...,7.0,40.0,174.0
17,Real Estate Investment Trusts,0.0,0.0,4.0
18,Software & Computer Services,0.0,2.0,2.0
19,Support Services,0.0,0.0,2.0
20,Technology Hardware & Equip...,3.0,13.0,258.0
