,Year,intersection,health,climate
0,2011,0.6666666666666666,14.0,3.5
1,2012,0.2,17.5,1.6
2,2013,0.6666666666666666,24.916666666666668,2.0
3,2014,0.06666666666666667,9.2,1.2
4,2015,0.15,13.2,2.15
5,2016,0.08,8.28,2.52
6,2017,0.07692307692307693,11.346153846153847,2.6538461538461537
7,2018,0.25,13.928571428571429,8.892857142857142
8,2019,0.1111111111111111,14.25925925925926,3.074074074074074
9,2020,0.3333333333333333,15.416666666666666,4.208333333333333
10,2021,1.205128205128205,28.615384615384617,6.846153846153846
11,2022,1.0,25.942857142857143,14.457142857142857
