,WHO,Year,intersection,climate,health,sum
0,Americas,2011,24.0,356.0,1494.0,1874.0
1,Americas,2012,33.0,388.0,1462.0,1883.0
2,Americas,2013,23.0,376.0,2233.0,2632.0
3,Americas,2014,45.0,490.0,1966.0,2501.0
4,Americas,2015,34.0,529.0,2498.0,3061.0
5,Americas,2016,51.0,386.0,2424.0,2861.0
6,Americas,2017,57.0,706.0,3006.0,3769.0
7,Americas,2018,42.0,496.0,2804.0,3342.0
8,Americas,2019,43.0,472.0,2480.0,2995.0
9,Americas,2020,108.0,730.0,2739.0,3577.0
10,Americas,2021,244.0,1543.0,6388.0,8175.0
11,Americas,2022,289.0,2314.0,6747.0,9350.0
