,Sector,intersection,health,climate
0,Aerospace & Defense,3.0,39.0,31.0
1,Alternative Energy,0.0,9.5,5.5
2,Automobiles & Parts,2.4,30.2,10.0
3,Banks,0.0,15.8,2.6
4,Beverages,0.25,12.25,5.5
5,Chemicals,0.0,15.0,7.0
6,Construction & Materials,0.7,22.48,6.13
7,Diversified,1.53,36.28,19.91
8,Electricity,1.5,14.5,17.5
9,Equity Investment Instruments,0.0,0.0,0.0
10,Financial Services,0.25,14.25,4.5
11,Food Producers,1.05,24.09,3.14
12,Forestry & Paper,0.0,19.0,3.0
13,"Gas, Water & Multiutilities",4.67,76.0,111.33
14,General Industrials,0.06,7.65,1.0
15,General Retailers,0.86,45.43,17.0
16,Health Care Equipment & Ser...,0.17,32.83,1.5
17,Household Goods & Home Cons...,0.0,37.0,4.0
18,Industrial Engineering,0.33,53.33,5.67
19,Industrial Metals & Mining,12.0,247.0,115.5
20,Industrial Transportation,3.0,29.33,14.0
21,Life Insurance,0.0,5.33,0.0
22,Media,0.0,26.56,2.11
23,Mining,2.25,45.75,5.0
24,Nonlife Insurance,1.83,27.83,12.83
25,Oil & Gas Producers,2.0,26.0,9.67
26,Personal Goods,2.0,21.0,3.0
27,Pharmaceuticals & Biotechno...,14.2,159.6,48.4
28,Real Estate Investment & Se...,0.0,9.0,0.0
29,Real Estate Investment Trusts,1.5,37.0,6.5
30,Software & Computer Services,1.0,18.25,2.0
31,Support Services,0.38,13.12,1.27
32,Technology Hardware & Equip...,0.33,22.67,1.67
33,Travel & Leisure,0.58,22.42,2.75
