,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,0.0,0.0,0.0,2022
1,Banks,0.97,1.0,0.47,2022
2,Construction & Materials,0.46,0.96,0.04,2022
3,Diversified,0.45,0.75,0.3,2022
4,Electricity,1.0,1.0,0.0,2022
5,Equity Investment Instruments,0.0,1.0,0.0,2022
6,Financial Services,0.48,0.57,0.29,2022
7,Food Producers,0.0,1.0,0.0,2022
8,"Gas, Water & Multiutilities",0.5,1.0,0.0,2022
9,General Industrials,0.67,1.0,0.67,2022
10,General Retailers,0.0,1.0,0.0,2022
11,Household Goods & Home Cons...,0.5,1.0,0.5,2022
12,Industrial Engineering,0.18,0.91,0.0,2022
13,Industrial Transportation,1.0,1.0,1.0,2022
14,Media,0.33,1.0,0.0,2022
15,Mobile Telecommunications,0.88,1.0,0.38,2022
16,Nonlife Insurance,0.0,0.86,0.0,2022
17,Not Applicable,0.0,1.0,0.0,2022
18,"Oil Equipment, Services & D...",0.0,0.33,0.0,2022
19,Personal Goods,0.56,1.0,0.22,2022
20,Real Estate Investment & Se...,0.71,0.57,0.0,2022
21,Software & Computer Services,0.62,0.75,0.0,2022
22,Support Services,0.47,0.78,0.0,2022
23,Technology Hardware & Equip...,0.0,0.5,0.0,2022
24,Travel & Leisure,0.0,0.0,0.0,2022
