,index,LC_grouping,Year,intersection,climate,health,sum
0,0,South and Central America,2011,0.0,7.0,215.0,222.0
1,1,South and Central America,2012,0.0,40.0,232.0,272.0
2,2,South and Central America,2013,3.0,23.0,149.0,175.0
3,3,South and Central America,2014,0.0,13.0,169.0,182.0
4,4,South and Central America,2015,0.0,14.0,110.0,124.0
5,5,South and Central America,2016,0.0,28.0,108.0,136.0
6,6,South and Central America,2017,0.0,24.0,85.0,109.0
7,7,South and Central America,2018,3.0,51.0,259.0,313.0
8,8,South and Central America,2019,7.0,24.0,125.0,156.0
9,9,South and Central America,2020,2.0,31.0,173.0,206.0
10,10,South and Central America,2021,30.0,117.0,738.0,885.0
11,11,South and Central America,2022,12.0,95.0,595.0,702.0
