,Sector,Climate,Health,Intersection,Year
0,Banks,0.0,0.0,0.0,2021
1,Construction & Materials,0.33,0.67,0.11,2021
2,Diversified,1.0,1.0,0.0,2021
3,Electricity,0.8,0.8,0.2,2021
4,Financial Services,0.67,0.8,0.27,2021
5,Food & Drug Retailers,0.0,1.0,0.0,2021
6,Food Producers,0.0,0.0,0.0,2021
7,"Gas, Water & Multiutilities",0.0,0.0,0.0,2021
8,General Industrials,1.0,0.5,0.0,2021
9,General Retailers,1.0,1.0,1.0,2021
10,Industrial Metals & Mining,0.6,0.8,0.4,2021
11,Media,0.0,0.0,0.0,2021
12,Mobile Telecommunications,0.5,0.5,0.0,2021
13,Not Applicable,0.67,1.0,0.0,2021
14,Oil & Gas Producers,0.71,0.83,0.21,2021
15,"Oil Equipment, Services & D...",0.67,1.0,0.0,2021
16,Pharmaceuticals & Biotechno...,1.0,1.0,1.0,2021
17,Real Estate Investment & Se...,0.0,1.0,0.0,2021
18,Technology Hardware & Equip...,1.0,1.0,1.0,2021
