,Year,HDI Level (2021),Climate,Health,Intersection
1,2011,High,0.0,1.0,0.0
5,2012,High,0.52,0.95,0.1
9,2013,High,0.43,0.82,0.04
13,2014,High,0.47,0.88,0.0
16,2015,High,0.35,0.82,0.06
20,2016,High,0.28,0.83,0.17
25,2017,High,0.55,0.85,0.25
30,2018,High,0.59,0.86,0.27
35,2019,High,0.55,0.95,0.3
40,2020,High,0.5,0.94,0.22
45,2021,High,0.38,0.81,0.19
50,2022,High,0.59,0.94,0.41
21,2016,Low,0.0,1.0,0.0
26,2017,Low,0.0,1.0,0.0
31,2018,Low,0.0,1.0,0.0
36,2019,Low,0.0,1.0,0.0
41,2020,Low,0.0,1.0,0.0
46,2021,Low,0.0,1.0,0.0
51,2022,Low,0.0,1.0,0.0
2,2011,Medium,0.2,1.0,0.0
6,2012,Medium,0.5,1.0,0.5
10,2013,Medium,0.0,1.0,0.0
14,2014,Medium,0.2,1.0,0.2
17,2015,Medium,0.17,1.0,0.17
22,2016,Medium,0.4,1.0,0.4
27,2017,Medium,0.25,1.0,0.0
32,2018,Medium,0.25,1.0,0.25
37,2019,Medium,0.2,1.0,0.0
42,2020,Medium,0.67,1.0,0.0
47,2021,Medium,0.33,1.0,0.33
52,2022,Medium,0.5,1.0,0.25
3,2011,Very High,0.5,0.96,0.0
7,2012,Very High,0.39,0.94,0.06
11,2013,Very High,0.28,0.93,0.04
15,2014,Very High,0.44,0.87,0.09
18,2015,Very High,0.51,0.93,0.11
23,2016,Very High,0.44,0.9,0.08
28,2017,Very High,0.54,0.93,0.13
33,2018,Very High,0.65,0.96,0.25
38,2019,Very High,0.7,0.94,0.32
43,2020,Very High,0.66,0.86,0.36
48,2021,Very High,0.8,0.95,0.41
53,2022,Very High,0.77,0.92,0.46
