Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,2057,1288,1692,374,0.63,0.82,0.18
2012,3015,1727,2411,427,0.57,0.8,0.14
2013,3231,1817,2597,458,0.56,0.8,0.14
2014,3186,1793,2574,455,0.56,0.81,0.14
2015,3472,1981,2843,519,0.57,0.82,0.15
2016,3573,2012,2912,559,0.56,0.82,0.16
2017,3724,2164,3080,642,0.58,0.83,0.17
2018,3751,2216,3116,709,0.59,0.83,0.19
2019,4060,2526,3445,829,0.62,0.85,0.2
2020,3554,2477,3095,1029,0.7,0.87,0.29
2021,5737,4079,5060,2097,0.71,0.88,0.37
2022,6089,4539,5338,2337,0.75,0.88,0.38
