,WHO,Year,intersection,climate,health,sum,Sector
0,Africa,2011,0.0,1.0,49.0,50.0,Health Care Equipment & Ser...
1,Africa,2012,1.0,3.0,116.0,120.0,Health Care Equipment & Ser...
2,Africa,2013,0.0,0.0,87.0,87.0,Health Care Equipment & Ser...
3,Africa,2014,44.0,24.0,202.0,270.0,Health Care Equipment & Ser...
4,Africa,2015,12.0,32.0,177.0,221.0,Health Care Equipment & Ser...
5,Africa,2016,2.0,2.0,54.0,58.0,Health Care Equipment & Ser...
6,Africa,2017,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
7,Africa,2018,1.0,8.0,107.0,116.0,Health Care Equipment & Ser...
8,Africa,2019,3.0,33.0,149.0,185.0,Health Care Equipment & Ser...
9,Africa,2020,2.0,19.0,68.0,89.0,Health Care Equipment & Ser...
10,Africa,2021,12.0,22.0,155.0,189.0,Health Care Equipment & Ser...
11,Africa,2022,1.0,5.0,90.0,96.0,Health Care Equipment & Ser...
12,Americas,2011,0.0,5.0,248.0,253.0,Health Care Equipment & Ser...
13,Americas,2012,6.0,50.0,1176.0,1232.0,Health Care Equipment & Ser...
14,Americas,2013,5.0,13.0,1556.0,1574.0,Health Care Equipment & Ser...
15,Americas,2014,2.0,18.0,494.0,514.0,Health Care Equipment & Ser...
16,Americas,2015,1.0,21.0,848.0,870.0,Health Care Equipment & Ser...
17,Americas,2016,3.0,8.0,690.0,701.0,Health Care Equipment & Ser...
18,Americas,2017,19.0,55.0,1204.0,1278.0,Health Care Equipment & Ser...
19,Americas,2018,34.0,85.0,1450.0,1569.0,Health Care Equipment & Ser...
20,Americas,2019,29.0,79.0,2279.0,2387.0,Health Care Equipment & Ser...
21,Americas,2020,21.0,50.0,1462.0,1533.0,Health Care Equipment & Ser...
22,Americas,2021,67.0,245.0,3082.0,3394.0,Health Care Equipment & Ser...
23,Americas,2022,199.0,384.0,3596.0,4179.0,Health Care Equipment & Ser...
24,Eastern Mediterranean,2011,0.0,0.0,14.0,14.0,Health Care Equipment & Ser...
25,Eastern Mediterranean,2012,0.0,0.0,9.0,9.0,Health Care Equipment & Ser...
26,Eastern Mediterranean,2013,0.0,6.0,195.0,201.0,Health Care Equipment & Ser...
27,Eastern Mediterranean,2014,0.0,0.0,2.0,2.0,Health Care Equipment & Ser...
28,Eastern Mediterranean,2015,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
29,Eastern Mediterranean,2019,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
30,Eastern Mediterranean,2020,0.0,0.0,6.0,6.0,Health Care Equipment & Ser...
31,Eastern Mediterranean,2021,0.0,0.0,13.0,13.0,Health Care Equipment & Ser...
32,Europe,2011,0.0,18.0,203.0,221.0,Health Care Equipment & Ser...
33,Europe,2012,3.0,39.0,373.0,415.0,Health Care Equipment & Ser...
34,Europe,2013,0.0,59.0,748.0,807.0,Health Care Equipment & Ser...
35,Europe,2014,9.0,84.0,1095.0,1188.0,Health Care Equipment & Ser...
36,Europe,2015,8.0,110.0,1256.0,1374.0,Health Care Equipment & Ser...
37,Europe,2016,3.0,115.0,1024.0,1142.0,Health Care Equipment & Ser...
38,Europe,2017,10.0,161.0,1613.0,1784.0,Health Care Equipment & Ser...
39,Europe,2018,28.0,178.0,1913.0,2119.0,Health Care Equipment & Ser...
40,Europe,2019,26.0,212.0,1342.0,1580.0,Health Care Equipment & Ser...
41,Europe,2020,58.0,262.0,2033.0,2353.0,Health Care Equipment & Ser...
42,Europe,2021,141.0,654.0,4839.0,5634.0,Health Care Equipment & Ser...
43,Europe,2022,164.0,825.0,4892.0,5881.0,Health Care Equipment & Ser...
44,South-East Asia,2011,0.0,2.0,46.0,48.0,Health Care Equipment & Ser...
45,South-East Asia,2012,0.0,0.0,4.0,4.0,Health Care Equipment & Ser...
46,South-East Asia,2013,0.0,0.0,0.0,0.0,Health Care Equipment & Ser...
47,South-East Asia,2014,0.0,0.0,113.0,113.0,Health Care Equipment & Ser...
48,South-East Asia,2015,0.0,0.0,172.0,172.0,Health Care Equipment & Ser...
