,Year,intersection,health,climate
0,2011,0.0,8.5,2.0
1,2012,0.0,7.5,3.75
2,2013,0.2,6.6,2.4
3,2014,0.3333333333333333,5.0,3.6666666666666665
4,2015,0.3333333333333333,18.666666666666668,3.6666666666666665
5,2016,0.14285714285714285,5.714285714285714,5.142857142857143
6,2017,0.5454545454545454,11.090909090909092,8.181818181818182
7,2018,0.16666666666666666,15.583333333333334,9.916666666666666
8,2019,0.0,7.875,8.0
9,2020,1.2857142857142858,29.0,12.714285714285714
10,2021,1.0,32.8,15.4
11,2022,0.6666666666666666,13.25,11.833333333333334
