,Sector,Climate,Health,Intersection,Year
0,Banks,1.0,1.0,0.17,2022
1,Beverages,0.57,0.57,0.14,2022
2,Construction & Materials,0.67,0.67,0.0,2022
3,Electricity,1.0,0.8,0.6,2022
4,Financial Services,1.0,1.0,0.27,2022
5,Fixed Line Telecommunications,0.5,1.0,0.0,2022
6,Health Care Equipment & Ser...,0.75,1.0,0.5,2022
7,Industrial Engineering,0.83,0.83,0.33,2022
8,Industrial Transportation,1.0,1.0,0.0,2022
9,Nonlife Insurance,1.0,1.0,0.0,2022
10,Software & Computer Services,1.0,0.67,0.0,2022
11,Support Services,0.8,0.9,0.15,2022
12,Travel & Leisure,1.0,1.0,0.33,2022
