,Sector,intersection,climate,health
0,Banks,1.0,59.0,29.0
1,Beverages,1.0,21.0,98.0
2,Construction & Materials,0.0,24.0,41.0
3,Electricity,7.0,147.0,92.0
4,Financial Services,6.0,125.0,140.0
5,Fixed Line Telecommunications,0.0,2.0,7.0
6,Health Care Equipment & Ser...,12.0,97.0,176.0
7,Industrial Engineering,5.0,110.0,394.0
8,Industrial Transportation,0.0,5.0,1.0
9,Nonlife Insurance,0.0,12.0,8.0
10,Software & Computer Services,0.0,26.0,18.0
11,Support Services,6.0,72.0,178.0
12,Travel & Leisure,2.0,58.0,86.0
