,index,LC_grouping,Year,intersection,climate,health,sum
0,0,South and Central America,2011,0.0,9.0,90.0,99.0
1,1,South and Central America,2012,0.0,17.0,174.0,191.0
2,2,South and Central America,2013,1.0,32.0,250.0,283.0
3,3,South and Central America,2014,3.0,37.0,203.0,243.0
4,4,South and Central America,2015,0.0,31.0,308.0,339.0
5,5,South and Central America,2016,0.0,30.0,171.0,201.0
6,6,South and Central America,2017,0.0,15.0,154.0,169.0
7,7,South and Central America,2018,6.0,42.0,238.0,286.0
8,8,South and Central America,2019,3.0,22.0,277.0,302.0
9,9,South and Central America,2020,6.0,54.0,265.0,325.0
10,10,South and Central America,2021,13.0,83.0,806.0,902.0
11,11,South and Central America,2022,26.0,196.0,870.0,1092.0
