Sector,"Health, %","Climate, %","Intersection, %"
Aerospace & Defense,47.1,25.2,2.9
Alternative Energy,24,37.7,4
Automobiles & Parts,48.4,51.4,2.5
Banks,21.6,29.7,1.7
Beverages,29,17.6,1.2
Chemicals,58.3,35.2,3.2
Construction & Materials,41.4,33.3,2.4
Diversified,19.7,11.3,1
Electricity,34.8,60,2.3
Electronic & Electrical Equ...,26.8,13.7,1.1
Equity Investment Instruments,8.9,11,1.3
Financial Services,24.4,32.1,1.6
Fixed Line Telecommunications,27.2,16.2,2
Food & Drug Retailers,61,48.8,4
Food Producers,37.3,16.4,2.6
Forestry & Paper,30.6,48.3,1.8
"Gas, Water & Multiutilities",41.9,37.3,4.1
General Industrials,32.4,20.3,2
General Retailers,28.3,23.4,0.8
Health Care Equipment & Ser...,42.7,8.7,1.1
Household Goods & Home Cons...,35.7,34.1,1.6
Industrial Engineering,30.5,20.2,2.2
Industrial Goods & Services,6,2,0
Industrial Metals & Mining,52.2,30.3,2.8
Industrial Transportation,28.3,18.2,1.1
Leisure Goods,15.1,7,0.2
Life Insurance,65.1,33,4.1
Media,18.9,12.6,0.5
Mining,63.9,33,3.1
Mobile Telecommunications,37,25.2,2.4
Nonequity Investment Instru...,56,18.5,1.5
Nonlife Insurance,31.8,20,1.8
Not Applicable,29,16,0
Oil & Gas Producers,53.4,49.7,3.8
"Oil Equipment, Services & D...",24.8,18.1,1
Personal Goods,17.5,11,0.5
Pharmaceuticals & Biotechno...,124.2,22.1,5.5
Real Estate Investment & Se...,35.6,28,2.2
Real Estate Investment Trusts,29,30.1,3
Software & Computer Services,15.4,12.1,1.2
Support Services,18.3,10.9,1
Technology Hardware & Equip...,32.6,22.6,2
Travel & Leisure,22.5,18.2,0.5
