Year,Region,Climate,Health,Intersection
2011,SIDS,274,455,21
2012,SIDS,428,579,18
2013,SIDS,350,842,40
2014,SIDS,376,618,34
2015,SIDS,350,607,29
2016,SIDS,203,357,32
2017,SIDS,258,561,18
2018,SIDS,417,748,47
2019,SIDS,676,1085,63
2020,SIDS,793,1288,105
2011,Tier 1,1657,3461,126
2012,Tier 1,1799,3477,126
2013,Tier 1,1590,4118,138
2014,Tier 1,2021,6124,136
2015,Tier 1,2287,7343,263
2016,Tier 1,2415,6739,276
2017,Tier 1,2485,6446,285
2018,Tier 1,2469,6014,222
2019,Tier 1,2937,5411,290
2020,Tier 1,3662,6332,370
2011,Tier 2,4973,7638,369
2012,Tier 2,4602,9329,285
2013,Tier 2,5696,9828,493
2014,Tier 2,5930,9485,322
2015,Tier 2,5516,9505,314
2016,Tier 2,6400,10721,432
2017,Tier 2,6292,10744,466
2018,Tier 2,6358,10888,571
2019,Tier 2,8451,13223,573
2020,Tier 2,9395,13899,729
