Year,Category,Total documents,Climate,Health,Intersection
2011,Tier 2,296,0.76,0.79,0.28
2012,Tier 2,374,0.75,0.79,0.2
2013,Tier 2,439,0.69,0.81,0.23
2014,Tier 2,462,0.68,0.81,0.19
2015,Tier 2,492,0.66,0.77,0.21
2016,Tier 2,518,0.68,0.79,0.24
2017,Tier 2,509,0.7,0.8,0.22
2018,Tier 2,513,0.7,0.78,0.27
2019,Tier 2,571,0.74,0.82,0.27
2020,Tier 2,522,0.75,0.83,0.36
2011,Tier 1,107,0.7,0.78,0.28
2012,Tier 1,144,0.66,0.8,0.26
2013,Tier 1,145,0.65,0.8,0.28
2014,Tier 1,150,0.65,0.79,0.21
2015,Tier 1,156,0.67,0.82,0.26
2016,Tier 1,168,0.67,0.83,0.26
2017,Tier 1,165,0.78,0.85,0.33
2018,Tier 1,179,0.7,0.81,0.3
2019,Tier 1,195,0.71,0.82,0.3
2020,Tier 1,184,0.83,0.9,0.42
2011,SIDS,16,0.81,0.94,0.31
2012,SIDS,24,0.71,0.88,0.25
2013,SIDS,30,0.67,0.77,0.3
2014,SIDS,27,0.52,0.78,0.3
2015,SIDS,34,0.56,0.79,0.21
2016,SIDS,30,0.57,0.77,0.2
2017,SIDS,29,0.66,0.9,0.38
2018,SIDS,34,0.74,0.94,0.38
2019,SIDS,50,0.74,0.96,0.36
2020,SIDS,45,0.73,0.89,0.49
