,Year,LC_grouping,Climate,Health,Intersection
0,2011,South and Central America,0.75,0.98,0.19
1,2012,South and Central America,0.73,0.94,0.16
2,2013,South and Central America,0.58,0.89,0.1
3,2014,South and Central America,0.69,0.92,0.16
4,2015,South and Central America,0.57,0.95,0.08
5,2016,South and Central America,0.62,0.88,0.12
6,2017,South and Central America,0.52,0.87,0.18
7,2018,South and Central America,0.55,0.84,0.19
8,2019,South and Central America,0.63,0.85,0.2
9,2020,South and Central America,0.72,0.88,0.24
10,2021,South and Central America,0.7,0.9,0.4
11,2022,South and Central America,0.66,0.89,0.3
