,HDI,Year,intersection,climate,health,sum
0,HIGH HUMAN DEVELOPMENT,2011,1.0,1.0,8.0,10.0
1,HIGH HUMAN DEVELOPMENT,2012,2.0,19.0,108.0,129.0
2,HIGH HUMAN DEVELOPMENT,2013,1.0,16.0,137.0,154.0
3,HIGH HUMAN DEVELOPMENT,2014,1.0,20.0,163.0,184.0
4,HIGH HUMAN DEVELOPMENT,2015,1.0,3.0,94.0,98.0
5,HIGH HUMAN DEVELOPMENT,2016,1.0,16.0,61.0,78.0
6,HIGH HUMAN DEVELOPMENT,2017,0.0,1.0,22.0,23.0
7,HIGH HUMAN DEVELOPMENT,2018,0.0,1.0,17.0,18.0
8,HIGH HUMAN DEVELOPMENT,2019,4.0,12.0,44.0,60.0
9,HIGH HUMAN DEVELOPMENT,2020,4.0,17.0,53.0,74.0
10,HIGH HUMAN DEVELOPMENT,2021,0.0,0.0,34.0,34.0
11,VERY HIGH HUMAN DEVELOPMENT,2011,565.0,9090.0,19052.0,28707.0
12,VERY HIGH HUMAN DEVELOPMENT,2012,598.0,10418.0,23831.0,34847.0
13,VERY HIGH HUMAN DEVELOPMENT,2013,671.0,10740.0,24009.0,35420.0
14,VERY HIGH HUMAN DEVELOPMENT,2014,663.0,11523.0,25497.0,37683.0
15,VERY HIGH HUMAN DEVELOPMENT,2015,653.0,10938.0,25938.0,37529.0
16,VERY HIGH HUMAN DEVELOPMENT,2016,800.0,12341.0,27513.0,40654.0
17,VERY HIGH HUMAN DEVELOPMENT,2017,946.0,12911.0,28520.0,42377.0
18,VERY HIGH HUMAN DEVELOPMENT,2018,943.0,13878.0,32341.0,47162.0
19,VERY HIGH HUMAN DEVELOPMENT,2019,1264.0,18088.0,36860.0,56212.0
20,VERY HIGH HUMAN DEVELOPMENT,2020,1680.0,22723.0,41145.0,65548.0
21,VERY HIGH HUMAN DEVELOPMENT,2021,4811.0,42060.0,97225.0,144096.0
