,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,0.33,0.67,0.33
2,2012,HIGH HUMAN DEVELOPMENT,0.5,0.88,0.25
4,2013,HIGH HUMAN DEVELOPMENT,0.6,1.0,0.1
6,2014,HIGH HUMAN DEVELOPMENT,0.3,0.8,0.1
8,2015,HIGH HUMAN DEVELOPMENT,0.27,0.73,0.09
10,2016,HIGH HUMAN DEVELOPMENT,0.2,0.5,0.1
12,2017,HIGH HUMAN DEVELOPMENT,0.25,0.5,0.0
14,2018,HIGH HUMAN DEVELOPMENT,0.5,0.5,0.0
16,2019,HIGH HUMAN DEVELOPMENT,0.5,1.0,0.5
18,2020,HIGH HUMAN DEVELOPMENT,0.5,1.0,0.5
20,2021,HIGH HUMAN DEVELOPMENT,0.0,1.0,0.0
1,2011,VERY HIGH HUMAN DEVELOPMENT,0.62,0.81,0.16
3,2012,VERY HIGH HUMAN DEVELOPMENT,0.55,0.78,0.12
5,2013,VERY HIGH HUMAN DEVELOPMENT,0.55,0.78,0.12
7,2014,VERY HIGH HUMAN DEVELOPMENT,0.55,0.8,0.13
9,2015,VERY HIGH HUMAN DEVELOPMENT,0.57,0.8,0.14
11,2016,VERY HIGH HUMAN DEVELOPMENT,0.57,0.81,0.14
13,2017,VERY HIGH HUMAN DEVELOPMENT,0.57,0.81,0.15
15,2018,VERY HIGH HUMAN DEVELOPMENT,0.6,0.83,0.17
17,2019,VERY HIGH HUMAN DEVELOPMENT,0.62,0.85,0.18
19,2020,VERY HIGH HUMAN DEVELOPMENT,0.7,0.87,0.27
21,2021,VERY HIGH HUMAN DEVELOPMENT,0.73,0.89,0.35
