,Year,HDI,Climate,Health,Intersection
2,2013,HIGH HUMAN DEVELOPMENT,1.0,1.0,0.0
4,2014,HIGH HUMAN DEVELOPMENT,0.0,1.0,0.0
6,2015,HIGH HUMAN DEVELOPMENT,1.0,1.0,0.0
8,2016,HIGH HUMAN DEVELOPMENT,0.0,1.0,0.0
0,2011,VERY HIGH HUMAN DEVELOPMENT,0.36,0.93,0.0
1,2012,VERY HIGH HUMAN DEVELOPMENT,0.33,0.93,0.04
3,2013,VERY HIGH HUMAN DEVELOPMENT,0.28,0.97,0.0
5,2014,VERY HIGH HUMAN DEVELOPMENT,0.37,0.91,0.06
7,2015,VERY HIGH HUMAN DEVELOPMENT,0.51,0.97,0.11
9,2016,VERY HIGH HUMAN DEVELOPMENT,0.38,0.89,0.04
10,2017,VERY HIGH HUMAN DEVELOPMENT,0.51,0.96,0.1
11,2018,VERY HIGH HUMAN DEVELOPMENT,0.61,0.98,0.22
12,2019,VERY HIGH HUMAN DEVELOPMENT,0.64,0.95,0.26
13,2020,VERY HIGH HUMAN DEVELOPMENT,0.65,0.89,0.35
14,2021,VERY HIGH HUMAN DEVELOPMENT,0.82,0.97,0.37
