Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011,1059,661,860,171,0.62,0.81,0.16
2012,1658,915,1287,197,0.55,0.78,0.12
2013,1688,928,1313,201,0.55,0.78,0.12
2014,1738,947,1389,222,0.54,0.8,0.13
2015,1921,1083,1534,272,0.56,0.8,0.14
2016,1926,1090,1565,272,0.57,0.81,0.14
2017,2003,1137,1623,301,0.57,0.81,0.15
2018,2075,1235,1722,360,0.6,0.83,0.17
2019,2298,1426,1951,417,0.62,0.85,0.18
2020,2062,1449,1793,548,0.7,0.87,0.27
2021,3206,2326,2863,1112,0.73,0.89,0.35
